Date,monkeypox,mpox,monkeypox_ French
2022-10-30,89,0,10
2022-11-06,87,2,6
2022-11-13,67,0,6
2022-11-20,58,0,4
2022-11-27,100,18,6
2022-12-04,49,10,0
2022-12-11,50,7,5
2022-12-18,36,6,3
2022-12-25,28,2,4
2023-01-01,45,6,8
2023-01-08,28,3,<1
2023-01-15,29,2,3
2023-01-22,34,2,2
2023-01-29,24,13,0
2023-02-05,26,8,4
2023-02-12,21,13,2
2023-02-19,23,7,0
2023-02-26,20,3,2
2023-03-05,12,5,2
2023-03-12,16,9,0
2023-03-19,23,7,2
2023-03-26,35,30,5
2023-04-02,22,22,0
2023-04-09,20,8,3
2023-04-16,14,5,2
2023-04-23,23,6,2
2023-04-30,17,8,3
2023-05-07,24,13,0
2023-05-14,19,8,<1
2023-05-21,12,7,0
2023-05-28,12,4,2
2023-06-04,20,4,4
2023-06-11,22,7,2
2023-06-18,15,10,<1
2023-06-25,15,5,0
2023-07-02,14,7,0
2023-07-09,16,5,0
2023-07-16,19,6,0
2023-07-23,11,8,3
2023-07-30,17,5,0
2023-08-06,15,4,2
2023-08-13,21,28,4
2023-08-20,14,8,4
2023-08-27,8,6,2
2023-09-03,10,7,2
2023-09-10,0,5,2
2023-09-17,15,0,2
2023-09-24,14,4,0
2023-10-01,11,7,0
2023-10-08,16,5,0
2023-10-15,10,5,2
2023-10-22,0,3,0
2023-10-29,15,3,2
2023-11-05,10,4,0
2023-11-12,8,2,0
2023-11-19,7,3,0
2023-11-26,11,13,5
