Date,monkeypox,mpox,monkeypox_ Chinese
2022-10-30,10,<1,0
2022-11-06,1,9,22
2022-11-13,1,0,<1
2022-11-20,0,<1,<1
2022-11-27,0,1,10
2022-12-04,1,0,0
2022-12-11,0,18,13
2022-12-18,0,0,0
2022-12-25,<1,0,1
2023-01-01,0,0,0
2023-01-08,1,0,13
2023-01-15,0,39,<1
2023-01-22,0,28,1
2023-01-29,0,<1,0
2023-02-05,<1,0,0
2023-02-12,0,0,1
2023-02-19,1,10,0
2023-02-26,0,1,0
2023-03-05,0,36,1
2023-03-12,0,28,0
2023-03-19,0,16,10
2023-03-26,0,0,0
2023-04-02,0,0,<1
2023-04-09,0,0,17
2023-04-16,1,0,15
2023-04-23,<1,0,12
2023-04-30,11,0,43
2023-05-07,1,0,1
2023-05-14,0,0,0
2023-05-21,0,12,0
2023-05-28,18,<1,35
2023-06-04,0,0,28
2023-06-11,0,<1,29
2023-06-18,20,0,15
2023-06-25,30,0,30
2023-07-02,0,2,22
2023-07-09,17,<1,100
2023-07-16,0,13,32
2023-07-23,13,<1,32
2023-07-30,15,0,28
2023-08-06,21,0,73
2023-08-13,0,0,23
2023-08-20,15,0,12
2023-08-27,21,0,31
2023-09-03,26,0,13
2023-09-10,15,0,0
2023-09-17,7,16,19
2023-09-24,1,1,<1
2023-10-01,1,12,12
2023-10-08,0,1,24
2023-10-15,0,0,0
2023-10-22,13,0,0
2023-10-29,8,0,0
2023-11-05,<1,0,11
2023-11-12,12,11,0
2023-11-19,12,0,<1
2023-11-26,0,0,0
