Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,23,0,62
2022-11-06,14,0,67
2022-11-13,43,0,78
2022-11-20,24,14,54
2022-11-27,16,46,100
2022-12-04,20,42,54
2022-12-11,13,1,43
2022-12-18,20,0,63
2022-12-25,32,0,40
2023-01-01,0,85,32
2023-01-08,<1,0,22
2023-01-15,15,0,29
2023-01-22,<1,0,42
2023-01-29,17,0,34
2023-02-05,10,0,22
2023-02-12,21,0,39
2023-02-19,0,0,18
2023-02-26,1,0,24
2023-03-05,11,0,0
2023-03-12,<1,11,13
2023-03-19,<1,0,0
2023-03-26,0,12,34
2023-04-02,15,<1,27
2023-04-09,23,13,24
2023-04-16,<1,0,13
2023-04-23,19,10,19
2023-04-30,18,36,1
2023-05-07,9,0,10
2023-05-14,10,9,0
2023-05-21,0,1,0
2023-05-28,1,0,48
2023-06-04,1,<1,22
2023-06-11,0,<1,0
2023-06-18,1,17,68
2023-06-25,0,17,0
2023-07-02,1,22,0
2023-07-09,23,10,13
2023-07-16,30,0,0
2023-07-23,10,0,15
2023-07-30,0,10,10
2023-08-06,<1,0,<1
2023-08-13,0,<1,10
2023-08-20,13,19,0
2023-08-27,1,1,15
2023-09-03,<1,19,16
2023-09-10,20,22,27
2023-09-17,1,0,0
2023-09-24,0,21,<1
2023-10-01,0,<1,40
2023-10-08,0,0,0
2023-10-15,20,16,39
2023-10-22,0,1,21
2023-10-29,0,0,15
2023-11-05,1,1,11
2023-11-12,0,13,15
2023-11-19,0,0,<1
2023-11-26,0,27,30
