Date,monkeypox,mpox,monkeypox_ French
2022-10-30,1,0,0
2022-11-06,100,0,33
2022-11-13,0,0,40
2022-11-20,0,0,0
2022-11-27,0,0,38
2022-12-04,2,0,45
2022-12-11,0,0,0
2022-12-18,0,0,32
2022-12-25,0,0,66
2023-01-01,0,0,0
2023-01-08,39,0,0
2023-01-15,0,0,0
2023-01-22,0,0,2
2023-01-29,0,0,0
2023-02-05,0,0,0
2023-02-12,1,0,0
2023-02-19,26,0,0
2023-02-26,2,0,0
2023-03-05,2,0,40
2023-03-12,0,0,0
2023-03-19,0,0,2
2023-03-26,0,0,35
2023-04-02,0,0,0
2023-04-09,46,0,1
2023-04-16,1,0,0
2023-04-23,0,0,0
2023-04-30,29,0,0
2023-05-07,0,0,0
2023-05-14,77,0,2
2023-05-21,88,0,0
2023-05-28,1,0,0
2023-06-04,0,0,1
2023-06-11,0,0,0
2023-06-18,80,0,0
2023-06-25,0,0,0
2023-07-02,71,0,1
2023-07-09,0,0,0
2023-07-16,2,0,1
2023-07-23,66,0,0
2023-07-30,0,0,1
2023-08-06,1,0,23
2023-08-13,0,0,1
2023-08-20,27,0,1
2023-08-27,2,0,0
2023-09-03,28,0,0
2023-09-10,0,0,1
2023-09-17,44,0,0
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,1,0,0
2023-10-15,0,0,0
2023-10-22,0,0,0
2023-10-29,0,0,0
2023-11-05,0,0,0
2023-11-12,0,0,0
2023-11-19,0,0,31
2023-11-26,1,0,0
