Date,monkeypox,mpox,monkeypox_ French
2022-10-30,12,0,0
2022-11-06,0,0,0
2022-11-13,0,<1,15
2022-11-20,0,0,19
2022-11-27,0,0,<1
2022-12-04,12,0,<1
2022-12-11,1,1,<1
2022-12-18,0,20,0
2022-12-25,0,1,0
2023-01-01,0,1,0
2023-01-08,12,0,<1
2023-01-15,22,0,0
2023-01-22,<1,<1,0
2023-01-29,10,1,1
2023-02-05,0,0,0
2023-02-12,<1,1,<1
2023-02-19,<1,29,0
2023-02-26,0,0,0
2023-03-05,0,11,14
2023-03-12,0,0,23
2023-03-19,1,<1,0
2023-03-26,0,0,0
2023-04-02,1,0,13
2023-04-09,0,12,0
2023-04-16,0,<1,0
2023-04-23,0,13,1
2023-04-30,13,1,0
2023-05-07,0,0,7
2023-05-14,<1,<1,0
2023-05-21,10,<1,0
2023-05-28,19,7,<1
2023-06-04,17,1,<1
2023-06-11,9,0,0
2023-06-18,0,0,29
2023-06-25,46,0,0
2023-07-02,<1,<1,1
2023-07-09,0,1,0
2023-07-16,0,0,0
2023-07-23,<1,0,<1
2023-07-30,1,1,0
2023-08-06,28,0,0
2023-08-13,1,<1,0
2023-08-20,100,28,0
2023-08-27,50,52,32
2023-09-03,22,<1,0
2023-09-10,0,0,9
2023-09-17,<1,9,0
2023-09-24,<1,0,1
2023-10-01,11,<1,0
2023-10-08,0,0,10
2023-10-15,0,1,18
2023-10-22,7,0,<1
2023-10-29,9,0,0
2023-11-05,22,<1,0
2023-11-12,0,0,14
2023-11-19,20,0,1
2023-11-26,0,0,0
