Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,26,0,39
2022-11-06,26,0,0
2022-11-13,1,0,0
2022-11-20,18,0,1
2022-11-27,1,0,0
2022-12-04,56,1,0
2022-12-11,0,28,1
2022-12-18,51,0,45
2022-12-25,31,1,0
2023-01-01,0,28,0
2023-01-08,0,32,21
2023-01-15,0,1,0
2023-01-22,30,2,0
2023-01-29,1,0,1
2023-02-05,39,1,0
2023-02-12,23,0,0
2023-02-19,0,33,0
2023-02-26,26,100,36
2023-03-05,0,0,47
2023-03-12,0,0,0
2023-03-19,1,0,0
2023-03-26,0,21,0
2023-04-02,0,1,0
2023-04-09,0,0,0
2023-04-16,0,32,0
2023-04-23,29,0,0
2023-04-30,0,0,0
2023-05-07,0,0,0
2023-05-14,0,0,0
2023-05-21,0,1,0
2023-05-28,40,1,1
2023-06-04,0,0,1
2023-06-11,1,0,1
2023-06-18,42,1,1
2023-06-25,37,0,27
2023-07-02,0,0,0
2023-07-09,0,40,1
2023-07-16,0,68,1
2023-07-23,0,1,0
2023-07-30,2,54,3
2023-08-06,1,0,0
2023-08-13,0,0,0
2023-08-20,0,1,0
2023-08-27,1,1,1
2023-09-03,0,1,0
2023-09-10,0,3,0
2023-09-17,47,1,0
2023-09-24,27,0,0
2023-10-01,0,41,0
2023-10-08,1,0,33
2023-10-15,21,2,0
2023-10-22,1,0,31
2023-10-29,35,0,1
2023-11-05,2,1,0
2023-11-12,0,71,0
2023-11-19,0,33,1
2023-11-26,1,0,0
