Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,0,1,0
2022-11-06,30,1,0
2022-11-13,0,0,0
2022-11-20,0,1,0
2022-11-27,0,34,0
2022-12-04,1,0,68
2022-12-11,4,22,0
2022-12-18,0,0,0
2022-12-25,0,2,32
2023-01-01,1,0,0
2023-01-08,37,0,0
2023-01-15,0,1,0
2023-01-22,30,0,2
2023-01-29,27,0,0
2023-02-05,0,2,1
2023-02-12,1,1,2
2023-02-19,0,2,0
2023-02-26,0,0,0
2023-03-05,0,0,88
2023-03-12,1,44,2
2023-03-19,0,0,0
2023-03-26,0,43,0
2023-04-02,0,1,0
2023-04-09,0,100,0
2023-04-16,0,0,0
2023-04-23,0,0,46
2023-04-30,0,33,1
2023-05-07,1,1,1
2023-05-14,2,0,1
2023-05-21,1,0,0
2023-05-28,1,65,1
2023-06-04,51,1,1
2023-06-11,22,0,0
2023-06-18,1,0,0
2023-06-25,0,0,0
2023-07-02,1,1,0
2023-07-09,0,0,0
2023-07-16,1,0,1
2023-07-23,0,56,25
2023-07-30,0,0,0
2023-08-06,0,0,43
2023-08-13,0,0,51
2023-08-20,2,0,0
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,0,37,1
2023-09-17,1,37,0
2023-09-24,3,0,0
2023-10-01,0,0,0
2023-10-08,0,0,0
2023-10-15,55,1,3
2023-10-22,41,22,0
2023-10-29,1,0,67
2023-11-05,1,0,2
2023-11-12,0,0,0
2023-11-19,0,0,0
2023-11-26,1,3,1
