Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,0
2022-11-06,0,0,0
2022-11-13,0,0,0
2022-11-20,0,0,0
2022-11-27,0,0,0
2022-12-04,25,0,0
2022-12-11,1,0,0
2022-12-18,0,0,0
2022-12-25,59,0,0
2023-01-01,0,0,2
2023-01-08,0,0,0
2023-01-15,0,0,0
2023-01-22,1,0,0
2023-01-29,0,0,0
2023-02-05,0,0,0
2023-02-12,0,0,72
2023-02-19,0,0,0
2023-02-26,70,0,0
2023-03-05,0,0,2
2023-03-12,0,0,23
2023-03-19,39,0,0
2023-03-26,2,0,0
2023-04-02,0,0,0
2023-04-09,1,0,58
2023-04-16,1,0,25
2023-04-23,3,0,0
2023-04-30,0,0,26
2023-05-07,0,0,4
2023-05-14,0,0,1
2023-05-21,37,0,0
2023-05-28,30,0,0
2023-06-04,100,0,2
2023-06-11,0,0,1
2023-06-18,33,0,0
2023-06-25,1,0,0
2023-07-02,37,0,0
2023-07-09,0,0,0
2023-07-16,0,0,32
2023-07-23,0,0,3
2023-07-30,0,0,0
2023-08-06,1,0,0
2023-08-13,1,0,0
2023-08-20,41,0,0
2023-08-27,0,0,0
2023-09-03,59,0,0
2023-09-10,1,0,0
2023-09-17,1,0,54
2023-09-24,0,0,2
2023-10-01,0,0,0
2023-10-08,0,0,1
2023-10-15,3,0,0
2023-10-22,0,0,54
2023-10-29,0,0,1
2023-11-05,0,0,1
2023-11-12,51,0,45
2023-11-19,0,0,35
2023-11-26,1,0,0
