Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,0,0,0
2022-11-06,0,0,0
2022-11-13,0,0,0
2022-11-20,0,0,0
2022-11-27,0,0,0
2022-12-04,2,0,0
2022-12-11,0,0,0
2022-12-18,1,0,0
2022-12-25,45,0,0
2023-01-01,37,0,0
2023-01-08,2,0,0
2023-01-15,0,0,0
2023-01-22,0,0,0
2023-01-29,0,0,0
2023-02-05,1,0,0
2023-02-12,0,0,0
2023-02-19,1,0,0
2023-02-26,40,0,0
2023-03-05,2,0,0
2023-03-12,58,0,0
2023-03-19,0,0,0
2023-03-26,0,0,0
2023-04-02,100,0,0
2023-04-09,2,0,0
2023-04-16,0,0,0
2023-04-23,0,0,0
2023-04-30,50,0,0
2023-05-07,0,0,0
2023-05-14,0,0,0
2023-05-21,25,0,0
2023-05-28,0,0,0
2023-06-04,53,0,0
2023-06-11,0,0,0
2023-06-18,0,0,0
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,50,0,0
2023-07-16,55,0,0
2023-07-23,0,0,0
2023-07-30,37,0,0
2023-08-06,5,0,0
2023-08-13,0,0,0
2023-08-20,34,0,0
2023-08-27,2,0,0
2023-09-03,47,0,0
2023-09-10,1,0,0
2023-09-17,0,0,0
2023-09-24,0,0,0
2023-10-01,2,0,0
2023-10-08,2,0,0
2023-10-15,1,0,0
2023-10-22,57,0,0
2023-10-29,0,0,0
2023-11-05,0,0,0
2023-11-12,0,0,0
2023-11-19,0,0,0
2023-11-26,4,0,0
