Date,monkeypox,mpox,monkeypox_ French
2022-10-30,4,0,0
2022-11-06,0,0,0
2022-11-13,0,0,29
2022-11-20,1,0,1
2022-11-27,0,0,2
2022-12-04,2,0,1
2022-12-11,2,0,1
2022-12-18,1,0,0
2022-12-25,46,0,0
2023-01-01,37,0,0
2023-01-08,3,0,1
2023-01-15,0,0,0
2023-01-22,0,0,2
2023-01-29,0,0,0
2023-02-05,1,0,0
2023-02-12,0,0,0
2023-02-19,0,0,0
2023-02-26,38,0,1
2023-03-05,0,0,2
2023-03-12,3,0,0
2023-03-19,0,0,0
2023-03-26,0,0,1
2023-04-02,100,0,32
2023-04-09,2,0,85
2023-04-16,0,0,3
2023-04-23,0,0,4
2023-04-30,38,0,3
2023-05-07,0,0,0
2023-05-14,0,0,0
2023-05-21,26,0,0
2023-05-28,0,0,0
2023-06-04,52,0,0
2023-06-11,0,0,0
2023-06-18,0,0,3
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,48,0,6
2023-07-16,55,0,0
2023-07-23,1,0,0
2023-07-30,38,0,2
2023-08-06,0,0,0
2023-08-13,3,0,0
2023-08-20,35,0,2
2023-08-27,0,0,42
2023-09-03,47,0,0
2023-09-10,0,0,1
2023-09-17,2,0,6
2023-09-24,0,0,0
2023-10-01,1,0,0
2023-10-08,0,0,0
2023-10-15,0,0,65
2023-10-22,57,0,4
2023-10-29,0,0,0
2023-11-05,0,0,1
2023-11-12,0,0,0
2023-11-19,0,0,0
2023-11-26,1,0,0
