Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,1,0,0
2022-11-06,26,0,1
2022-11-13,39,0,0
2022-11-20,0,0,1
2022-11-27,0,0,0
2022-12-04,23,0,67
2022-12-11,0,0,44
2022-12-18,1,0,100
2022-12-25,1,0,1
2023-01-01,1,0,2
2023-01-08,0,0,2
2023-01-15,0,0,4
2023-01-22,2,0,1
2023-01-29,1,0,31
2023-02-05,0,0,0
2023-02-12,0,0,0
2023-02-19,0,0,0
2023-02-26,2,0,0
2023-03-05,1,0,0
2023-03-12,0,0,39
2023-03-19,0,0,79
2023-03-26,76,0,0
2023-04-02,0,0,0
2023-04-09,42,0,0
2023-04-16,33,0,1
2023-04-23,0,0,0
2023-04-30,0,0,0
2023-05-07,0,0,34
2023-05-14,0,0,0
2023-05-21,47,0,2
2023-05-28,39,0,0
2023-06-04,0,0,41
2023-06-11,0,0,7
2023-06-18,0,0,0
2023-06-25,2,0,2
2023-07-02,0,0,2
2023-07-09,0,0,37
2023-07-16,0,0,69
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,1,0,0
2023-08-13,3,0,0
2023-08-20,39,0,1
2023-08-27,0,0,0
2023-09-03,4,0,0
2023-09-10,0,0,1
2023-09-17,1,0,1
2023-09-24,40,0,0
2023-10-01,0,0,0
2023-10-08,0,0,0
2023-10-15,1,0,0
2023-10-22,0,0,0
2023-10-29,25,0,33
2023-11-05,1,0,0
2023-11-12,2,0,1
2023-11-19,1,0,0
2023-11-26,0,0,0
