Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,4,0,10
2022-11-06,5,0,13
2022-11-13,4,<1,13
2022-11-20,2,2,11
2022-11-27,4,2,12
2022-12-04,4,0,100
2022-12-11,12,3,73
2022-12-18,0,0,18
2022-12-25,2,0,16
2023-01-01,3,0,7
2023-01-08,<1,0,4
2023-01-15,0,0,2
2023-01-22,0,0,5
2023-01-29,2,0,6
2023-02-05,0,0,3
2023-02-12,<1,0,<1
2023-02-19,4,0,4
2023-02-26,<1,5,5
2023-03-05,3,2,7
2023-03-12,0,<1,<1
2023-03-19,2,0,3
2023-03-26,<1,<1,4
2023-04-02,2,<1,3
2023-04-09,4,2,4
2023-04-16,<1,3,7
2023-04-23,0,0,3
2023-04-30,<1,<1,4
2023-05-07,2,4,3
2023-05-14,0,0,3
2023-05-21,0,0,4
2023-05-28,0,<1,3
2023-06-04,3,3,2
2023-06-11,2,0,4
2023-06-18,0,<1,7
2023-06-25,0,<1,5
2023-07-02,0,0,2
2023-07-09,2,3,4
2023-07-16,0,0,2
2023-07-23,0,<1,2
2023-07-30,<1,<1,<1
2023-08-06,0,0,0
2023-08-13,0,0,0
2023-08-20,2,<1,4
2023-08-27,<1,0,0
2023-09-03,<1,0,<1
2023-09-10,<1,<1,0
2023-09-17,3,0,0
2023-09-24,0,0,0
2023-10-01,4,0,2
2023-10-08,4,0,<1
2023-10-15,<1,<1,0
2023-10-22,<1,<1,0
2023-10-29,6,0,3
2023-11-05,0,0,<1
2023-11-12,3,0,2
2023-11-19,0,0,0
2023-11-26,<1,0,0
