Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,51,0,0
2022-11-06,0,1,29
2022-11-13,1,0,1
2022-11-20,0,0,39
2022-11-27,1,0,32
2022-12-04,56,0,36
2022-12-11,0,0,0
2022-12-18,0,0,0
2022-12-25,0,0,2
2023-01-01,1,44,1
2023-01-08,39,0,0
2023-01-15,0,0,0
2023-01-22,0,0,1
2023-01-29,0,45,0
2023-02-05,1,78,0
2023-02-12,1,0,27
2023-02-19,0,100,0
2023-02-26,3,1,0
2023-03-05,0,0,0
2023-03-12,53,26,0
2023-03-19,23,0,0
2023-03-26,45,1,0
2023-04-02,71,3,0
2023-04-09,1,0,33
2023-04-16,0,1,1
2023-04-23,1,0,0
2023-04-30,0,0,1
2023-05-07,0,0,0
2023-05-14,0,0,0
2023-05-21,1,1,2
2023-05-28,0,1,0
2023-06-04,0,0,0
2023-06-11,0,1,2
2023-06-18,0,0,1
2023-06-25,0,54,3
2023-07-02,0,34,2
2023-07-09,1,0,0
2023-07-16,32,0,0
2023-07-23,1,0,0
2023-07-30,0,1,3
2023-08-06,0,0,0
2023-08-13,0,58,2
2023-08-20,50,0,2
2023-08-27,0,0,2
2023-09-03,1,0,0
2023-09-10,0,0,0
2023-09-17,0,1,0
2023-09-24,1,51,39
2023-10-01,2,0,0
2023-10-08,0,1,26
2023-10-15,0,70,1
2023-10-22,0,1,0
2023-10-29,2,2,0
2023-11-05,50,0,0
2023-11-12,1,0,0
2023-11-19,0,0,0
2023-11-26,0,0,0
