Date,monkeypox,mpox,monkeypox_ French
2022-10-30,62,0,0
2022-11-06,0,0,45
2022-11-13,0,0,0
2022-11-20,0,0,0
2022-11-27,92,0,0
2022-12-04,0,0,47
2022-12-11,0,0,39
2022-12-18,58,0,46
2022-12-25,0,0,1
2023-01-01,1,0,1
2023-01-08,2,0,0
2023-01-15,1,0,0
2023-01-22,0,0,1
2023-01-29,46,0,40
2023-02-05,41,0,1
2023-02-12,1,0,0
2023-02-19,1,0,0
2023-02-26,0,0,1
2023-03-05,0,0,0
2023-03-12,1,0,0
2023-03-19,0,0,1
2023-03-26,0,0,0
2023-04-02,1,0,0
2023-04-09,3,0,1
2023-04-16,0,0,0
2023-04-23,0,0,0
2023-04-30,0,0,1
2023-05-07,33,0,1
2023-05-14,0,0,31
2023-05-21,1,0,0
2023-05-28,64,0,40
2023-06-04,39,0,1
2023-06-11,0,0,0
2023-06-18,0,0,0
2023-06-25,1,0,1
2023-07-02,0,0,1
2023-07-09,45,0,0
2023-07-16,3,0,0
2023-07-23,1,0,29
2023-07-30,1,0,2
2023-08-06,0,0,1
2023-08-13,0,0,1
2023-08-20,0,0,0
2023-08-27,1,0,0
2023-09-03,4,0,58
2023-09-10,0,0,1
2023-09-17,0,0,29
2023-09-24,1,0,1
2023-10-01,1,0,0
2023-10-08,0,0,42
2023-10-15,1,0,1
2023-10-22,1,0,21
2023-10-29,0,0,100
2023-11-05,0,0,18
2023-11-12,23,0,0
2023-11-19,0,0,21
2023-11-26,1,0,1
