Date,monkeypox,mpox,monkeypox_ French
2022-10-30,19,0,100
2022-11-06,26,0,87
2022-11-13,22,0,60
2022-11-20,19,3,63
2022-11-27,27,3,75
2022-12-04,15,0,48
2022-12-11,16,3,49
2022-12-18,16,0,47
2022-12-25,10,3,43
2023-01-01,11,0,38
2023-01-08,10,0,30
2023-01-15,15,0,25
2023-01-22,14,0,25
2023-01-29,9,4,15
2023-02-05,5,3,18
2023-02-12,5,<1,12
2023-02-19,9,4,22
2023-02-26,10,2,17
2023-03-05,4,<1,13
2023-03-12,13,4,20
2023-03-19,5,4,21
2023-03-26,13,7,19
2023-04-02,9,0,22
2023-04-09,8,2,12
2023-04-16,8,3,15
2023-04-23,4,10,15
2023-04-30,4,20,16
2023-05-07,7,7,22
2023-05-14,0,<1,11
2023-05-21,7,6,12
2023-05-28,13,0,13
2023-06-04,2,0,16
2023-06-11,7,<1,15
2023-06-18,6,<1,9
2023-06-25,<1,10,10
2023-07-02,8,0,9
2023-07-09,7,0,7
2023-07-16,2,0,8
2023-07-23,4,0,13
2023-07-30,7,0,4
2023-08-06,4,11,7
2023-08-13,5,0,16
2023-08-20,9,<1,16
2023-08-27,6,0,10
2023-09-03,7,4,8
2023-09-10,4,0,8
2023-09-17,0,0,3
2023-09-24,0,<1,5
2023-10-01,11,14,10
2023-10-08,0,0,6
2023-10-15,6,0,3
2023-10-22,4,<1,8
2023-10-29,7,0,<1
2023-11-05,7,6,14
2023-11-12,0,<1,8
2023-11-19,0,<1,<1
2023-11-26,7,9,16
