Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,0
2022-11-06,0,0,1
2022-11-13,1,0,35
2022-11-20,1,0,1
2022-11-27,0,0,72
2022-12-04,2,0,0
2022-12-11,0,0,0
2022-12-18,57,0,20
2022-12-25,0,0,0
2023-01-01,0,0,3
2023-01-08,0,0,2
2023-01-15,0,0,0
2023-01-22,22,0,0
2023-01-29,0,0,0
2023-02-05,1,0,84
2023-02-12,41,0,0
2023-02-19,0,0,26
2023-02-26,0,0,0
2023-03-05,1,0,38
2023-03-12,1,0,0
2023-03-19,0,0,1
2023-03-26,0,0,0
2023-04-02,0,0,25
2023-04-09,100,0,30
2023-04-16,46,0,47
2023-04-23,0,0,0
2023-04-30,0,0,41
2023-05-07,0,0,0
2023-05-14,1,0,1
2023-05-21,2,0,3
2023-05-28,0,0,0
2023-06-04,2,0,1
2023-06-11,35,0,48
2023-06-18,39,0,2
2023-06-25,0,0,0
2023-07-02,2,0,1
2023-07-09,3,0,0
2023-07-16,1,0,1
2023-07-23,0,0,0
2023-07-30,0,0,29
2023-08-06,1,0,0
2023-08-13,1,0,0
2023-08-20,26,0,27
2023-08-27,1,0,2
2023-09-03,2,0,0
2023-09-10,0,0,0
2023-09-17,0,0,0
2023-09-24,1,0,0
2023-10-01,26,0,0
2023-10-08,0,0,65
2023-10-15,1,0,1
2023-10-22,0,0,34
2023-10-29,0,0,0
2023-11-05,0,0,25
2023-11-12,2,0,0
2023-11-19,0,0,0
2023-11-26,29,0,1
