Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,69
2022-11-06,0,0,0
2022-11-13,0,0,31
2022-11-20,3,0,0
2022-11-27,0,0,47
2022-12-04,39,0,0
2022-12-11,0,0,0
2022-12-18,0,0,1
2022-12-25,3,0,0
2023-01-01,0,0,0
2023-01-08,0,0,1
2023-01-15,0,0,0
2023-01-22,0,0,0
2023-01-29,0,0,0
2023-02-05,0,0,2
2023-02-12,1,0,0
2023-02-19,0,0,0
2023-02-26,1,0,0
2023-03-05,1,0,0
2023-03-12,0,0,1
2023-03-19,39,0,0
2023-03-26,0,0,0
2023-04-02,3,0,86
2023-04-09,0,0,0
2023-04-16,0,0,0
2023-04-23,0,0,46
2023-04-30,0,0,0
2023-05-07,0,0,0
2023-05-14,0,0,2
2023-05-21,1,0,1
2023-05-28,1,0,34
2023-06-04,0,0,0
2023-06-11,0,0,0
2023-06-18,1,0,0
2023-06-25,0,0,0
2023-07-02,0,0,2
2023-07-09,3,0,0
2023-07-16,0,0,0
2023-07-23,3,0,0
2023-07-30,1,0,81
2023-08-06,0,0,0
2023-08-13,2,0,0
2023-08-20,0,0,4
2023-08-27,0,0,0
2023-09-03,2,0,3
2023-09-10,0,0,0
2023-09-17,100,0,3
2023-09-24,0,0,1
2023-10-01,0,0,3
2023-10-08,0,0,39
2023-10-15,0,0,0
2023-10-22,2,0,0
2023-10-29,0,0,0
2023-11-05,0,0,0
2023-11-12,1,0,0
2023-11-19,44,0,0
2023-11-26,31,0,2
