Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,26
2022-11-06,0,0,0
2022-11-13,3,0,24
2022-11-20,0,0,1
2022-11-27,0,0,0
2022-12-04,0,0,1
2022-12-11,0,0,0
2022-12-18,1,0,0
2022-12-25,0,0,27
2023-01-01,1,0,0
2023-01-08,0,0,0
2023-01-15,<1,0,0
2023-01-22,0,0,0
2023-01-29,1,0,0
2023-02-05,43,0,0
2023-02-12,0,0,0
2023-02-19,0,0,1
2023-02-26,13,0,1
2023-03-05,<1,0,0
2023-03-12,2,0,2
2023-03-19,0,0,0
2023-03-26,27,0,61
2023-04-02,26,0,1
2023-04-09,1,0,0
2023-04-16,0,0,0
2023-04-23,0,0,0
2023-04-30,0,0,0
2023-05-07,0,0,0
2023-05-14,1,0,0
2023-05-21,0,0,0
2023-05-28,27,0,0
2023-06-04,1,0,0
2023-06-11,2,0,37
2023-06-18,0,0,2
2023-06-25,34,0,2
2023-07-02,23,0,1
2023-07-09,25,0,0
2023-07-16,0,0,0
2023-07-23,21,0,1
2023-07-30,0,0,0
2023-08-06,100,0,1
2023-08-13,0,0,0
2023-08-20,0,0,50
2023-08-27,0,0,58
2023-09-03,0,0,1
2023-09-10,0,0,0
2023-09-17,29,0,0
2023-09-24,1,0,0
2023-10-01,76,0,0
2023-10-08,0,0,37
2023-10-15,0,0,0
2023-10-22,0,0,1
2023-10-29,1,0,1
2023-11-05,0,0,0
2023-11-12,0,0,0
2023-11-19,0,0,42
2023-11-26,0,0,0
