Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,37,46,0
2022-11-06,1,2,0
2022-11-13,2,2,1
2022-11-20,32,0,0
2022-11-27,0,0,2
2022-12-04,0,82,0
2022-12-11,0,0,0
2022-12-18,2,0,50
2022-12-25,0,2,3
2023-01-01,0,0,2
2023-01-08,0,100,0
2023-01-15,42,1,0
2023-01-22,0,0,0
2023-01-29,1,81,0
2023-02-05,2,0,54
2023-02-12,0,37,0
2023-02-19,1,0,0
2023-02-26,0,2,1
2023-03-05,0,48,0
2023-03-12,2,0,0
2023-03-19,0,3,28
2023-03-26,64,0,4
2023-04-02,69,95,1
2023-04-09,1,36,0
2023-04-16,0,1,0
2023-04-23,0,3,0
2023-04-30,1,0,0
2023-05-07,0,1,0
2023-05-14,0,35,35
2023-05-21,0,0,1
2023-05-28,0,0,1
2023-06-04,0,45,82
2023-06-11,89,1,0
2023-06-18,3,2,1
2023-06-25,30,1,3
2023-07-02,0,0,30
2023-07-09,0,0,1
2023-07-16,0,0,0
2023-07-23,0,0,0
2023-07-30,4,1,43
2023-08-06,0,1,61
2023-08-13,0,0,0
2023-08-20,0,2,0
2023-08-27,2,2,1
2023-09-03,96,62,56
2023-09-10,0,0,0
2023-09-17,1,59,2
2023-09-24,46,72,31
2023-10-01,56,1,3
2023-10-08,0,0,42
2023-10-15,0,0,0
2023-10-22,2,3,42
2023-10-29,0,0,0
2023-11-05,2,1,0
2023-11-12,2,0,0
2023-11-19,0,0,0
2023-11-26,2,70,2
