Date,monkeypox,mpox,monkeypox_ French
2022-10-30,23,0,0
2022-11-06,38,0,19
2022-11-13,0,0,100
2022-11-20,0,0,1
2022-11-27,1,0,14
2022-12-04,0,0,20
2022-12-11,19,0,1
2022-12-18,1,0,0
2022-12-25,0,0,16
2023-01-01,1,0,0
2023-01-08,0,0,20
2023-01-15,1,0,0
2023-01-22,0,0,0
2023-01-29,<1,0,1
2023-02-05,1,0,0
2023-02-12,0,0,0
2023-02-19,0,0,1
2023-02-26,0,0,27
2023-03-05,0,0,1
2023-03-12,0,0,0
2023-03-19,1,0,0
2023-03-26,0,0,0
2023-04-02,0,0,1
2023-04-09,0,0,24
2023-04-16,0,0,<1
2023-04-23,0,0,0
2023-04-30,0,0,1
2023-05-07,<1,0,0
2023-05-14,0,0,0
2023-05-21,<1,0,0
2023-05-28,0,0,0
2023-06-04,0,0,36
2023-06-11,0,0,1
2023-06-18,0,0,1
2023-06-25,0,0,0
2023-07-02,45,0,0
2023-07-09,0,0,0
2023-07-16,16,0,0
2023-07-23,1,0,1
2023-07-30,0,0,21
2023-08-06,0,0,<1
2023-08-13,0,0,13
2023-08-20,0,0,0
2023-08-27,<1,0,<1
2023-09-03,0,0,0
2023-09-10,1,0,1
2023-09-17,0,0,0
2023-09-24,1,0,1
2023-10-01,1,0,0
2023-10-08,1,0,0
2023-10-15,0,0,0
2023-10-22,0,0,1
2023-10-29,0,0,<1
2023-11-05,0,0,23
2023-11-12,23,0,20
2023-11-19,32,0,0
2023-11-26,17,0,19
