Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,61
2022-11-06,0,0,0
2022-11-13,0,0,39
2022-11-20,1,0,1
2022-11-27,0,0,3
2022-12-04,0,0,0
2022-12-11,0,0,44
2022-12-18,0,0,0
2022-12-25,2,0,0
2023-01-01,0,0,0
2023-01-08,0,0,2
2023-01-15,1,0,0
2023-01-22,0,0,74
2023-01-29,4,0,0
2023-02-05,6,0,0
2023-02-12,1,0,44
2023-02-19,28,0,0
2023-02-26,0,0,2
2023-03-05,1,0,0
2023-03-12,0,0,0
2023-03-19,0,0,0
2023-03-26,0,0,1
2023-04-02,1,0,0
2023-04-09,0,0,33
2023-04-16,1,0,0
2023-04-23,0,0,0
2023-04-30,0,0,1
2023-05-07,2,0,0
2023-05-14,0,0,0
2023-05-21,2,0,0
2023-05-28,0,0,62
2023-06-04,0,0,100
2023-06-11,40,0,0
2023-06-18,50,0,0
2023-06-25,0,0,54
2023-07-02,70,0,0
2023-07-09,0,0,36
2023-07-16,2,0,74
2023-07-23,3,0,0
2023-07-30,41,0,0
2023-08-06,0,0,0
2023-08-13,0,0,4
2023-08-20,0,0,1
2023-08-27,0,0,0
2023-09-03,0,0,3
2023-09-10,0,0,33
2023-09-17,29,0,44
2023-09-24,1,0,64
2023-10-01,1,0,0
2023-10-08,36,0,0
2023-10-15,0,0,1
2023-10-22,0,0,0
2023-10-29,2,0,1
2023-11-05,35,0,1
2023-11-12,0,0,1
2023-11-19,0,0,1
2023-11-26,26,0,0
