Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,1,45,0
2022-11-06,0,1,33
2022-11-13,1,1,0
2022-11-20,0,3,22
2022-11-27,1,20,1
2022-12-04,32,22,44
2022-12-11,1,1,0
2022-12-18,0,0,0
2022-12-25,1,80,27
2023-01-01,23,0,56
2023-01-08,0,0,2
2023-01-15,0,23,0
2023-01-22,31,1,0
2023-01-29,24,26,0
2023-02-05,1,1,1
2023-02-12,0,1,1
2023-02-19,24,48,25
2023-02-26,19,1,56
2023-03-05,33,1,0
2023-03-12,1,1,0
2023-03-19,45,26,100
2023-03-26,0,23,0
2023-04-02,33,0,1
2023-04-09,1,0,0
2023-04-16,2,0,18
2023-04-23,0,23,1
2023-04-30,1,0,0
2023-05-07,0,25,1
2023-05-14,0,0,0
2023-05-21,2,0,0
2023-05-28,0,31,0
2023-06-04,0,0,0
2023-06-11,0,0,0
2023-06-18,40,36,22
2023-06-25,43,24,0
2023-07-02,0,0,0
2023-07-09,0,2,0
2023-07-16,58,0,0
2023-07-23,27,0,0
2023-07-30,0,0,0
2023-08-06,0,0,35
2023-08-13,0,0,1
2023-08-20,2,1,1
2023-08-27,2,77,2
2023-09-03,56,0,0
2023-09-10,0,71,2
2023-09-17,56,2,0
2023-09-24,0,3,0
2023-10-01,0,0,0
2023-10-08,0,4,1
2023-10-15,0,31,0
2023-10-22,0,0,1
2023-10-29,0,1,60
2023-11-05,0,0,0
2023-11-12,0,54,0
2023-11-19,0,2,2
2023-11-26,3,0,36
