Date,monkeypox,mpox,monkeypox_ Chinese
2022-10-30,6,0,11
2022-11-06,5,4,15
2022-11-13,<1,0,10
2022-11-20,7,2,6
2022-11-27,9,5,8
2022-12-04,4,0,7
2022-12-11,0,4,3
2022-12-18,3,0,8
2022-12-25,10,0,6
2023-01-01,0,0,0
2023-01-08,<1,0,10
2023-01-15,4,<1,3
2023-01-22,0,7,4
2023-01-29,3,<1,23
2023-02-05,3,<1,19
2023-02-12,0,<1,4
2023-02-19,0,3,2
2023-02-26,0,<1,7
2023-03-05,2,0,2
2023-03-12,0,<1,6
2023-03-19,2,<1,2
2023-03-26,2,0,5
2023-04-02,0,5,<1
2023-04-09,8,5,7
2023-04-16,4,<1,28
2023-04-23,0,<1,24
2023-04-30,5,0,45
2023-05-07,5,0,47
2023-05-14,2,0,16
2023-05-21,0,<1,12
2023-05-28,2,<1,12
2023-06-04,<1,3,11
2023-06-11,4,<1,14
2023-06-18,0,3,19
2023-06-25,0,3,15
2023-07-02,0,<1,17
2023-07-09,<1,<1,18
2023-07-16,3,<1,21
2023-07-23,9,3,100
2023-07-30,7,4,57
2023-08-06,10,5,74
2023-08-13,7,0,81
2023-08-20,4,0,30
2023-08-27,0,8,22
2023-09-03,3,3,23
2023-09-10,3,<1,19
2023-09-17,3,0,28
2023-09-24,4,0,20
2023-10-01,2,11,10
2023-10-08,0,0,7
2023-10-15,0,0,7
2023-10-22,4,3,5
2023-10-29,6,3,11
2023-11-05,<1,6,7
2023-11-12,3,0,9
2023-11-19,4,0,7
2023-11-26,2,<1,8
