Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,1,0,27
2022-11-06,0,0,38
2022-11-13,0,0,69
2022-11-20,2,0,25
2022-11-27,0,0,21
2022-12-04,0,0,39
2022-12-11,0,0,0
2022-12-18,2,0,18
2022-12-25,67,0,1
2023-01-01,0,0,0
2023-01-08,0,0,1
2023-01-15,1,0,34
2023-01-22,2,0,24
2023-01-29,2,0,17
2023-02-05,44,0,0
2023-02-12,0,0,0
2023-02-19,1,0,1
2023-02-26,0,0,0
2023-03-05,0,0,0
2023-03-12,0,0,18
2023-03-19,0,0,36
2023-03-26,0,0,1
2023-04-02,0,0,21
2023-04-09,0,0,1
2023-04-16,0,0,81
2023-04-23,51,0,19
2023-04-30,0,0,50
2023-05-07,1,0,1
2023-05-14,0,0,0
2023-05-21,32,0,53
2023-05-28,0,0,25
2023-06-04,0,0,1
2023-06-11,1,0,2
2023-06-18,0,0,0
2023-06-25,1,0,24
2023-07-02,0,0,44
2023-07-09,2,0,1
2023-07-16,0,0,0
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,0,0,0
2023-08-13,2,0,0
2023-08-20,1,0,2
2023-08-27,40,0,2
2023-09-03,0,0,1
2023-09-10,1,0,28
2023-09-17,0,0,0
2023-09-24,100,0,0
2023-10-01,1,0,0
2023-10-08,1,0,30
2023-10-15,0,0,0
2023-10-22,2,0,0
2023-10-29,1,0,0
2023-11-05,0,0,0
2023-11-12,1,0,4
2023-11-19,1,0,23
2023-11-26,0,0,0
