Date,monkeypox,mpox,monkeypox_ Russian
2022-10-30,0,0,0
2022-11-06,1,0,0
2022-11-13,1,0,0
2022-11-20,0,0,32
2022-11-27,42,0,0
2022-12-04,19,0,0
2022-12-11,0,0,0
2022-12-18,1,0,0
2022-12-25,1,0,34
2023-01-01,1,0,1
2023-01-08,0,0,48
2023-01-15,0,0,56
2023-01-22,1,0,0
2023-01-29,1,0,0
2023-02-05,1,0,40
2023-02-12,0,0,0
2023-02-19,0,0,1
2023-02-26,33,0,30
2023-03-05,0,0,1
2023-03-12,0,0,0
2023-03-19,1,0,0
2023-03-26,0,0,1
2023-04-02,0,0,1
2023-04-09,3,0,0
2023-04-16,1,0,1
2023-04-23,41,0,47
2023-04-30,0,0,19
2023-05-07,82,0,88
2023-05-14,0,0,38
2023-05-21,22,0,1
2023-05-28,0,0,0
2023-06-04,2,0,0
2023-06-11,0,0,0
2023-06-18,2,0,0
2023-06-25,2,0,0
2023-07-02,2,0,0
2023-07-09,0,0,58
2023-07-16,41,0,0
2023-07-23,1,0,0
2023-07-30,45,0,0
2023-08-06,0,0,0
2023-08-13,0,0,0
2023-08-20,0,0,0
2023-08-27,24,0,64
2023-09-03,0,0,0
2023-09-10,2,0,0
2023-09-17,3,0,1
2023-09-24,3,0,0
2023-10-01,23,0,0
2023-10-08,0,0,0
2023-10-15,0,0,0
2023-10-22,26,0,30
2023-10-29,0,0,53
2023-11-05,100,0,0
2023-11-12,1,0,0
2023-11-19,1,0,27
2023-11-26,23,0,1
