Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,0,0,0
2022-11-06,0,0,23
2022-11-13,1,0,1
2022-11-20,0,0,16
2022-11-27,0,0,1
2022-12-04,0,0,0
2022-12-11,0,0,23
2022-12-18,0,0,0
2022-12-25,1,0,0
2023-01-01,1,0,1
2023-01-08,0,0,43
2023-01-15,18,0,27
2023-01-22,1,0,1
2023-01-29,32,0,90
2023-02-05,0,0,17
2023-02-12,0,0,1
2023-02-19,1,0,0
2023-02-26,0,0,50
2023-03-05,0,0,37
2023-03-12,1,0,100
2023-03-19,0,0,0
2023-03-26,0,0,0
2023-04-02,22,0,0
2023-04-09,50,0,0
2023-04-16,1,0,1
2023-04-23,48,0,23
2023-04-30,0,0,0
2023-05-07,2,0,1
2023-05-14,0,0,0
2023-05-21,0,0,0
2023-05-28,18,0,1
2023-06-04,21,0,0
2023-06-11,1,0,0
2023-06-18,26,0,0
2023-06-25,0,0,0
2023-07-02,1,0,1
2023-07-09,0,0,26
2023-07-16,1,0,23
2023-07-23,2,0,0
2023-07-30,1,0,34
2023-08-06,1,0,0
2023-08-13,0,0,0
2023-08-20,0,0,1
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,1,0,25
2023-09-17,0,0,0
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,87,0,21
2023-10-15,44,0,0
2023-10-22,0,0,1
2023-10-29,0,0,41
2023-11-05,1,0,0
2023-11-12,0,0,0
2023-11-19,1,0,1
2023-11-26,0,0,0
