Date,monkeypox,mpox,monkeypox_ Russian
2022-10-30,3,0,0
2022-11-06,0,0,4
2022-11-13,0,0,76
2022-11-20,1,0,23
2022-11-27,0,0,0
2022-12-04,0,0,0
2022-12-11,40,0,1
2022-12-18,2,0,0
2022-12-25,42,0,0
2023-01-01,26,0,1
2023-01-08,2,0,0
2023-01-15,0,0,32
2023-01-22,21,0,1
2023-01-29,0,0,0
2023-02-05,0,0,0
2023-02-12,27,0,0
2023-02-19,0,0,0
2023-02-26,35,0,0
2023-03-05,0,0,0
2023-03-12,44,0,1
2023-03-19,1,0,1
2023-03-26,27,0,36
2023-04-02,1,0,42
2023-04-09,0,0,0
2023-04-16,0,0,2
2023-04-23,0,0,36
2023-04-30,0,0,0
2023-05-07,0,0,42
2023-05-14,0,0,21
2023-05-21,0,0,26
2023-05-28,0,0,0
2023-06-04,0,0,35
2023-06-11,0,0,0
2023-06-18,32,0,0
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,2,0,1
2023-07-16,0,0,1
2023-07-23,34,0,0
2023-07-30,0,0,0
2023-08-06,2,0,0
2023-08-13,0,0,100
2023-08-20,0,0,0
2023-08-27,2,0,0
2023-09-03,0,0,63
2023-09-10,46,0,0
2023-09-17,0,0,1
2023-09-24,41,0,0
2023-10-01,48,0,0
2023-10-08,0,0,3
2023-10-15,36,0,0
2023-10-22,1,0,33
2023-10-29,0,0,2
2023-11-05,0,0,32
2023-11-12,0,0,0
2023-11-19,47,0,2
2023-11-26,0,0,40
