Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,26,0,0
2022-11-06,32,0,44
2022-11-13,97,0,0
2022-11-20,0,0,0
2022-11-27,0,0,82
2022-12-04,0,0,1
2022-12-11,0,0,0
2022-12-18,0,0,1
2022-12-25,2,0,0
2023-01-01,51,0,1
2023-01-08,36,0,0
2023-01-15,35,0,0
2023-01-22,1,0,57
2023-01-29,0,0,1
2023-02-05,0,0,3
2023-02-12,1,0,1
2023-02-19,0,0,0
2023-02-26,65,0,1
2023-03-05,0,0,0
2023-03-12,84,0,100
2023-03-19,0,0,1
2023-03-26,1,0,0
2023-04-02,0,0,0
2023-04-09,36,0,0
2023-04-16,0,0,0
2023-04-23,2,0,0
2023-04-30,0,0,0
2023-05-07,94,0,0
2023-05-14,0,0,1
2023-05-21,0,0,0
2023-05-28,3,0,0
2023-06-04,0,0,0
2023-06-11,1,0,0
2023-06-18,0,0,0
2023-06-25,31,0,1
2023-07-02,0,0,1
2023-07-09,0,0,1
2023-07-16,0,0,0
2023-07-23,1,0,36
2023-07-30,0,0,0
2023-08-06,29,0,1
2023-08-13,0,0,0
2023-08-20,0,0,37
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,1,0,32
2023-09-17,0,0,0
2023-09-24,1,0,52
2023-10-01,40,0,0
2023-10-08,0,0,2
2023-10-15,0,0,0
2023-10-22,0,0,0
2023-10-29,0,0,41
2023-11-05,0,0,2
2023-11-12,0,0,0
2023-11-19,1,0,0
2023-11-26,0,0,0
