Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,1,0,0
2022-11-06,2,0,0
2022-11-13,30,0,1
2022-11-20,0,0,0
2022-11-27,2,0,0
2022-12-04,36,0,3
2022-12-11,0,0,1
2022-12-18,2,0,0
2022-12-25,0,0,35
2023-01-01,0,0,1
2023-01-08,1,0,0
2023-01-15,45,0,0
2023-01-22,0,0,1
2023-01-29,0,0,0
2023-02-05,1,0,0
2023-02-12,0,0,35
2023-02-19,47,0,0
2023-02-26,1,0,44
2023-03-05,0,0,2
2023-03-12,59,0,0
2023-03-19,0,0,0
2023-03-26,0,0,5
2023-04-02,1,0,0
2023-04-09,2,0,1
2023-04-16,0,0,0
2023-04-23,0,0,3
2023-04-30,46,0,0
2023-05-07,0,0,1
2023-05-14,3,0,0
2023-05-21,2,0,0
2023-05-28,1,0,0
2023-06-04,44,0,0
2023-06-11,1,0,33
2023-06-18,37,0,0
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,43,0,65
2023-07-16,0,0,2
2023-07-23,0,0,65
2023-07-30,0,0,1
2023-08-06,0,0,0
2023-08-13,0,0,62
2023-08-20,0,0,1
2023-08-27,0,0,2
2023-09-03,2,0,2
2023-09-10,0,0,1
2023-09-17,0,0,0
2023-09-24,1,0,2
2023-10-01,1,0,100
2023-10-08,0,0,0
2023-10-15,0,0,4
2023-10-22,1,0,0
2023-10-29,0,0,2
2023-11-05,0,0,0
2023-11-12,31,0,1
2023-11-19,1,0,2
2023-11-26,2,0,0
