Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,4
2022-11-06,0,0,1
2022-11-13,3,0,1
2022-11-20,1,0,0
2022-11-27,0,0,48
2022-12-04,0,0,2
2022-12-11,0,0,2
2022-12-18,0,0,0
2022-12-25,48,0,2
2023-01-01,2,0,1
2023-01-08,0,0,1
2023-01-15,40,0,2
2023-01-22,1,0,0
2023-01-29,0,0,0
2023-02-05,0,0,0
2023-02-12,1,0,0
2023-02-19,0,0,61
2023-02-26,0,0,0
2023-03-05,0,0,0
2023-03-12,0,0,23
2023-03-19,0,0,42
2023-03-26,0,0,0
2023-04-02,0,0,0
2023-04-09,31,0,45
2023-04-16,1,0,36
2023-04-23,0,0,1
2023-04-30,0,0,0
2023-05-07,1,0,3
2023-05-14,46,0,0
2023-05-21,0,0,1
2023-05-28,0,0,0
2023-06-04,0,0,28
2023-06-11,50,0,42
2023-06-18,2,0,2
2023-06-25,33,0,0
2023-07-02,0,0,0
2023-07-09,0,0,0
2023-07-16,23,0,0
2023-07-23,2,0,0
2023-07-30,0,0,2
2023-08-06,0,0,0
2023-08-13,57,0,0
2023-08-20,0,0,0
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,0,0,0
2023-09-17,100,0,0
2023-09-24,1,0,0
2023-10-01,0,0,0
2023-10-08,35,0,0
2023-10-15,0,0,0
2023-10-22,0,0,39
2023-10-29,0,0,0
2023-11-05,1,0,42
2023-11-12,0,0,0
2023-11-19,0,0,0
2023-11-26,2,0,1
