Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,0,0,0
2022-11-06,0,0,0
2022-11-13,0,0,0
2022-11-20,1,0,55
2022-11-27,0,0,0
2022-12-04,0,0,1
2022-12-11,32,0,72
2022-12-18,1,0,40
2022-12-25,0,0,1
2023-01-01,30,0,2
2023-01-08,33,0,0
2023-01-15,3,0,1
2023-01-22,0,0,3
2023-01-29,50,0,4
2023-02-05,0,0,5
2023-02-12,0,0,54
2023-02-19,0,0,58
2023-02-26,44,0,0
2023-03-05,78,0,0
2023-03-12,0,0,0
2023-03-19,2,0,38
2023-03-26,0,0,0
2023-04-02,37,0,0
2023-04-09,53,0,0
2023-04-16,72,0,30
2023-04-23,71,0,0
2023-04-30,0,0,0
2023-05-07,0,0,1
2023-05-14,0,0,3
2023-05-21,0,0,2
2023-05-28,3,0,44
2023-06-04,0,0,0
2023-06-11,0,0,50
2023-06-18,0,0,1
2023-06-25,100,0,1
2023-07-02,0,0,3
2023-07-09,0,0,1
2023-07-16,0,0,0
2023-07-23,2,0,0
2023-07-30,0,0,37
2023-08-06,0,0,0
2023-08-13,3,0,0
2023-08-20,5,0,0
2023-08-27,0,0,0
2023-09-03,2,0,0
2023-09-10,0,0,0
2023-09-17,59,0,41
2023-09-24,1,0,33
2023-10-01,0,0,2
2023-10-08,34,0,2
2023-10-15,2,0,0
2023-10-22,0,0,1
2023-10-29,1,0,0
2023-11-05,27,0,0
2023-11-12,2,0,0
2023-11-19,0,0,1
2023-11-26,1,0,0
