Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,11,<1,11
2022-11-06,7,0,27
2022-11-13,4,<1,9
2022-11-20,6,<1,29
2022-11-27,3,1,10
2022-12-04,5,1,8
2022-12-11,3,7,6
2022-12-18,4,0,8
2022-12-25,4,<1,5
2023-01-01,0,1,2
2023-01-08,3,3,4
2023-01-15,2,4,1
2023-01-22,5,2,4
2023-01-29,4,2,3
2023-02-05,2,25,4
2023-02-12,5,13,3
2023-02-19,2,8,2
2023-02-26,2,5,2
2023-03-05,4,72,4
2023-03-12,1,9,3
2023-03-19,1,2,3
2023-03-26,<1,4,2
2023-04-02,2,100,4
2023-04-09,2,21,4
2023-04-16,2,28,4
2023-04-23,2,7,3
2023-04-30,2,7,2
2023-05-07,1,9,4
2023-05-14,2,8,1
2023-05-21,1,8,2
2023-05-28,1,3,2
2023-06-04,1,<1,1
2023-06-11,0,2,2
2023-06-18,0,2,2
2023-06-25,1,3,2
2023-07-02,1,4,2
2023-07-09,0,4,2
2023-07-16,0,3,<1
2023-07-23,1,1,2
2023-07-30,0,2,1
2023-08-06,<1,3,0
2023-08-13,1,2,0
2023-08-20,<1,3,0
2023-08-27,3,<1,2
2023-09-03,1,1,3
2023-09-10,<1,1,3
2023-09-17,2,1,2
2023-09-24,2,1,3
2023-10-01,2,0,0
2023-10-08,<1,1,2
2023-10-15,1,0,1
2023-10-22,0,0,1
2023-10-29,0,<1,<1
2023-11-05,1,1,1
2023-11-12,1,0,2
2023-11-19,2,0,<1
2023-11-26,<1,1,2
