Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,24,0,1
2022-11-06,100,0,0
2022-11-13,49,0,0
2022-11-20,0,0,0
2022-11-27,0,0,0
2022-12-04,17,0,0
2022-12-11,0,0,1
2022-12-18,48,0,2
2022-12-25,0,0,0
2023-01-01,0,0,1
2023-01-08,0,0,1
2023-01-15,1,0,23
2023-01-22,44,0,60
2023-01-29,1,0,0
2023-02-05,1,0,3
2023-02-12,17,0,28
2023-02-19,20,0,1
2023-02-26,20,0,25
2023-03-05,0,0,27
2023-03-12,0,0,0
2023-03-19,0,0,0
2023-03-26,1,0,0
2023-04-02,2,0,20
2023-04-09,21,0,0
2023-04-16,1,0,34
2023-04-23,25,0,0
2023-04-30,1,0,0
2023-05-07,3,0,0
2023-05-14,0,0,1
2023-05-21,1,0,1
2023-05-28,2,0,0
2023-06-04,1,0,2
2023-06-11,0,0,32
2023-06-18,0,0,0
2023-06-25,31,0,57
2023-07-02,0,0,71
2023-07-09,0,0,0
2023-07-16,0,0,21
2023-07-23,25,0,0
2023-07-30,0,0,1
2023-08-06,35,0,44
2023-08-13,0,0,0
2023-08-20,20,0,0
2023-08-27,0,0,41
2023-09-03,26,0,53
2023-09-10,1,0,0
2023-09-17,0,0,21
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,48,0,0
2023-10-15,0,0,0
2023-10-22,0,0,2
2023-10-29,1,0,1
2023-11-05,19,0,3
2023-11-12,1,0,0
2023-11-19,0,0,2
2023-11-26,44,0,45
