Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,57,0,1
2022-11-06,25,1,0
2022-11-13,0,0,2
2022-11-20,0,2,1
2022-11-27,3,0,1
2022-12-04,1,37,0
2022-12-11,2,0,0
2022-12-18,1,0,0
2022-12-25,2,88,0
2023-01-01,0,43,3
2023-01-08,75,0,0
2023-01-15,3,32,1
2023-01-22,1,4,0
2023-01-29,0,0,1
2023-02-05,0,0,0
2023-02-12,0,0,68
2023-02-19,0,1,0
2023-02-26,0,0,0
2023-03-05,1,0,0
2023-03-12,1,36,2
2023-03-19,0,0,1
2023-03-26,0,0,0
2023-04-02,0,45,0
2023-04-09,0,0,1
2023-04-16,46,0,2
2023-04-23,49,1,0
2023-04-30,22,0,3
2023-05-07,0,46,0
2023-05-14,0,32,64
2023-05-21,0,32,0
2023-05-28,4,1,0
2023-06-04,32,27,37
2023-06-11,0,0,0
2023-06-18,3,2,0
2023-06-25,0,0,38
2023-07-02,0,0,0
2023-07-09,0,3,100
2023-07-16,0,48,0
2023-07-23,0,0,2
2023-07-30,0,0,0
2023-08-06,0,0,0
2023-08-13,0,31,0
2023-08-20,33,0,89
2023-08-27,3,0,0
2023-09-03,1,56,3
2023-09-10,0,1,0
2023-09-17,0,0,1
2023-09-24,0,2,0
2023-10-01,97,0,0
2023-10-08,1,0,0
2023-10-15,3,2,2
2023-10-22,0,0,0
2023-10-29,0,1,0
2023-11-05,3,0,1
2023-11-12,1,0,1
2023-11-19,0,1,0
2023-11-26,2,0,0
