Date,monkeypox,mpox,monkeypox_ French
2022-10-30,1,0,2
2022-11-06,32,0,0
2022-11-13,0,0,53
2022-11-20,1,0,1
2022-11-27,0,0,0
2022-12-04,0,0,1
2022-12-11,21,0,0
2022-12-18,29,0,0
2022-12-25,0,0,0
2023-01-01,0,0,42
2023-01-08,2,0,25
2023-01-15,1,0,81
2023-01-22,100,0,26
2023-01-29,1,0,0
2023-02-05,2,0,4
2023-02-12,0,0,0
2023-02-19,1,0,28
2023-02-26,1,0,1
2023-03-05,4,0,0
2023-03-12,0,0,19
2023-03-19,0,0,0
2023-03-26,0,0,0
2023-04-02,1,0,1
2023-04-09,1,0,1
2023-04-16,0,0,2
2023-04-23,0,0,1
2023-04-30,0,0,42
2023-05-07,2,0,0
2023-05-14,0,0,1
2023-05-21,52,0,0
2023-05-28,1,0,3
2023-06-04,0,0,1
2023-06-11,0,0,1
2023-06-18,42,0,37
2023-06-25,1,0,0
2023-07-02,1,0,0
2023-07-09,0,0,0
2023-07-16,0,0,0
2023-07-23,1,0,0
2023-07-30,0,0,0
2023-08-06,0,0,0
2023-08-13,0,0,0
2023-08-20,3,0,0
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,30,0,0
2023-09-17,2,0,0
2023-09-24,75,0,1
2023-10-01,0,0,1
2023-10-08,1,0,0
2023-10-15,3,0,0
2023-10-22,0,0,3
2023-10-29,0,0,44
2023-11-05,0,0,0
2023-11-12,0,0,0
2023-11-19,1,0,39
2023-11-26,1,0,1
