Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,0,0,0
2022-11-06,<1,0,0
2022-11-13,25,0,1
2022-11-20,20,0,26
2022-11-27,0,0,0
2022-12-04,12,0,2
2022-12-11,0,0,16
2022-12-18,0,0,0
2022-12-25,17,0,2
2023-01-01,0,0,0
2023-01-08,0,0,0
2023-01-15,0,0,2
2023-01-22,1,0,0
2023-01-29,0,0,0
2023-02-05,<1,0,<1
2023-02-12,0,0,17
2023-02-19,0,0,0
2023-02-26,0,0,0
2023-03-05,35,0,0
2023-03-12,0,0,0
2023-03-19,0,0,1
2023-03-26,14,0,2
2023-04-02,<1,0,2
2023-04-09,0,0,0
2023-04-16,0,0,0
2023-04-23,0,0,15
2023-04-30,0,0,12
2023-05-07,1,0,1
2023-05-14,1,0,0
2023-05-21,<1,0,20
2023-05-28,0,0,24
2023-06-04,1,0,<1
2023-06-11,14,0,27
2023-06-18,0,0,17
2023-06-25,0,0,47
2023-07-02,0,0,0
2023-07-09,0,0,19
2023-07-16,1,0,22
2023-07-23,0,0,30
2023-07-30,0,0,35
2023-08-06,1,0,<1
2023-08-13,0,0,0
2023-08-20,1,0,1
2023-08-27,0,0,0
2023-09-03,100,0,0
2023-09-10,0,0,0
2023-09-17,0,0,15
2023-09-24,28,0,0
2023-10-01,16,0,1
2023-10-08,26,0,15
2023-10-15,27,0,35
2023-10-22,1,0,0
2023-10-29,0,0,0
2023-11-05,2,0,0
2023-11-12,0,0,0
2023-11-19,27,0,1
2023-11-26,51,0,39
