Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,27,0,0
2022-11-06,53,0,0
2022-11-13,2,0,0
2022-11-20,0,0,0
2022-11-27,1,0,1
2022-12-04,23,0,52
2022-12-11,0,0,0
2022-12-18,0,0,0
2022-12-25,1,0,40
2023-01-01,0,0,0
2023-01-08,1,0,4
2023-01-15,0,0,1
2023-01-22,33,0,1
2023-01-29,0,0,0
2023-02-05,29,0,1
2023-02-12,2,0,0
2023-02-19,54,0,2
2023-02-26,45,0,0
2023-03-05,0,0,0
2023-03-12,0,0,0
2023-03-19,0,0,0
2023-03-26,42,0,1
2023-04-02,2,0,0
2023-04-09,3,0,33
2023-04-16,0,0,49
2023-04-23,0,0,0
2023-04-30,0,0,0
2023-05-07,0,0,0
2023-05-14,2,0,1
2023-05-21,0,0,1
2023-05-28,0,0,0
2023-06-04,2,0,58
2023-06-11,1,0,4
2023-06-18,38,0,65
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,1,0,65
2023-07-16,0,0,0
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,0,0,0
2023-08-13,1,0,0
2023-08-20,0,0,1
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,1,0,0
2023-09-17,35,0,0
2023-09-24,0,0,2
2023-10-01,64,0,0
2023-10-08,0,0,0
2023-10-15,1,0,59
2023-10-22,0,0,0
2023-10-29,3,0,0
2023-11-05,71,0,2
2023-11-12,48,0,90
2023-11-19,0,0,40
2023-11-26,51,0,100
