Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,0,1,0
2022-11-06,31,2,0
2022-11-13,18,1,0
2022-11-20,16,0,0
2022-11-27,0,1,0
2022-12-04,0,59,33
2022-12-11,22,2,1
2022-12-18,1,0,1
2022-12-25,0,34,40
2023-01-01,1,0,0
2023-01-08,1,0,26
2023-01-15,20,0,0
2023-01-22,0,0,0
2023-01-29,0,0,0
2023-02-05,0,1,1
2023-02-12,24,0,52
2023-02-19,0,0,59
2023-02-26,16,1,19
2023-03-05,0,0,25
2023-03-12,1,3,0
2023-03-19,0,36,0
2023-03-26,0,0,0
2023-04-02,0,0,0
2023-04-09,0,0,0
2023-04-16,0,0,17
2023-04-23,0,0,0
2023-04-30,1,2,0
2023-05-07,0,0,0
2023-05-14,27,0,0
2023-05-21,23,0,0
2023-05-28,100,1,0
2023-06-04,1,0,1
2023-06-11,0,1,1
2023-06-18,0,2,0
2023-06-25,19,44,0
2023-07-02,36,67,2
2023-07-09,18,0,1
2023-07-16,25,1,0
2023-07-23,20,0,0
2023-07-30,0,2,23
2023-08-06,0,0,1
2023-08-13,0,0,0
2023-08-20,1,0,1
2023-08-27,35,1,0
2023-09-03,0,0,0
2023-09-10,0,0,0
2023-09-17,0,66,2
2023-09-24,0,0,0
2023-10-01,0,0,1
2023-10-08,0,0,0
2023-10-15,0,18,0
2023-10-22,0,1,1
2023-10-29,0,0,1
2023-11-05,45,0,0
2023-11-12,1,0,0
2023-11-19,39,1,0
2023-11-26,29,0,18
