Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,0,0,1
2022-11-06,30,26,60
2022-11-13,79,0,41
2022-11-20,23,2,19
2022-11-27,51,22,0
2022-12-04,63,30,17
2022-12-11,40,0,0
2022-12-18,0,2,0
2022-12-25,78,0,89
2023-01-01,0,0,67
2023-01-08,0,0,77
2023-01-15,21,0,33
2023-01-22,47,0,0
2023-01-29,76,22,29
2023-02-05,1,1,0
2023-02-12,54,34,43
2023-02-19,35,0,23
2023-02-26,48,0,0
2023-03-05,1,0,40
2023-03-12,0,53,32
2023-03-19,0,0,19
2023-03-26,64,1,23
2023-04-02,36,36,42
2023-04-09,28,0,39
2023-04-16,0,0,25
2023-04-23,0,3,0
2023-04-30,34,32,0
2023-05-07,1,1,0
2023-05-14,26,0,78
2023-05-21,0,26,0
2023-05-28,0,1,0
2023-06-04,26,1,1
2023-06-11,0,1,1
2023-06-18,0,1,0
2023-06-25,1,53,23
2023-07-02,33,62,39
2023-07-09,0,0,0
2023-07-16,0,55,0
2023-07-23,0,0,0
2023-07-30,1,1,0
2023-08-06,3,1,0
2023-08-13,0,0,2
2023-08-20,2,0,1
2023-08-27,0,0,2
2023-09-03,61,24,0
2023-09-10,0,0,90
2023-09-17,22,79,56
2023-09-24,1,18,1
2023-10-01,2,0,38
2023-10-08,0,29,3
2023-10-15,27,3,2
2023-10-22,0,100,4
2023-10-29,1,38,0
2023-11-05,59,1,0
2023-11-12,1,0,1
2023-11-19,1,0,1
2023-11-26,31,70,0
