Date,monkeypox,mpox,monkeypox_ Russian
2022-10-30,50,1,0
2022-11-06,0,0,40
2022-11-13,1,14,44
2022-11-20,18,0,48
2022-11-27,0,<1,84
2022-12-04,31,0,0
2022-12-11,30,0,37
2022-12-18,0,0,70
2022-12-25,19,23,53
2023-01-01,0,0,24
2023-01-08,0,0,34
2023-01-15,16,0,38
2023-01-22,0,0,20
2023-01-29,0,0,0
2023-02-05,0,54,1
2023-02-12,1,0,55
2023-02-19,23,0,34
2023-02-26,26,0,23
2023-03-05,19,0,0
2023-03-12,20,0,27
2023-03-19,24,16,22
2023-03-26,0,29,0
2023-04-02,0,0,0
2023-04-09,27,0,31
2023-04-16,17,1,0
2023-04-23,0,0,1
2023-04-30,17,0,0
2023-05-07,1,0,1
2023-05-14,42,0,0
2023-05-21,24,0,0
2023-05-28,28,0,19
2023-06-04,1,35,28
2023-06-11,0,49,1
2023-06-18,16,1,43
2023-06-25,27,39,18
2023-07-02,0,0,27
2023-07-09,0,<1,23
2023-07-16,30,0,27
2023-07-23,68,21,2
2023-07-30,0,0,0
2023-08-06,0,38,2
2023-08-13,32,0,0
2023-08-20,30,22,0
2023-08-27,100,0,0
2023-09-03,17,2,50
2023-09-10,34,0,0
2023-09-17,31,0,<1
2023-09-24,26,1,0
2023-10-01,51,0,27
2023-10-08,44,0,46
2023-10-15,1,0,<1
2023-10-22,1,2,0
2023-10-29,<1,0,58
2023-11-05,21,31,21
2023-11-12,0,1,35
2023-11-19,20,0,34
2023-11-26,27,1,0
