Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,0
2022-11-06,0,0,27
2022-11-13,1,0,0
2022-11-20,19,0,0
2022-11-27,0,0,26
2022-12-04,0,0,2
2022-12-11,1,0,2
2022-12-18,0,0,0
2022-12-25,0,0,0
2023-01-01,3,0,0
2023-01-08,0,0,2
2023-01-15,1,0,34
2023-01-22,0,0,1
2023-01-29,0,0,0
2023-02-05,0,0,20
2023-02-12,0,0,0
2023-02-19,0,0,0
2023-02-26,1,0,19
2023-03-05,0,0,0
2023-03-12,0,0,41
2023-03-19,68,0,1
2023-03-26,0,0,0
2023-04-02,0,0,1
2023-04-09,1,0,0
2023-04-16,1,0,29
2023-04-23,0,0,0
2023-04-30,1,0,23
2023-05-07,0,0,1
2023-05-14,1,0,22
2023-05-21,0,0,0
2023-05-28,0,0,0
2023-06-04,33,0,0
2023-06-11,0,0,<1
2023-06-18,59,0,1
2023-06-25,1,0,0
2023-07-02,0,0,0
2023-07-09,0,0,33
2023-07-16,0,0,0
2023-07-23,0,0,0
2023-07-30,1,0,0
2023-08-06,0,0,1
2023-08-13,1,0,2
2023-08-20,1,0,0
2023-08-27,0,0,23
2023-09-03,0,0,0
2023-09-10,0,0,0
2023-09-17,0,0,0
2023-09-24,25,0,0
2023-10-01,0,0,23
2023-10-08,0,0,1
2023-10-15,0,0,100
2023-10-22,17,0,26
2023-10-29,0,0,1
2023-11-05,0,0,2
2023-11-12,0,0,0
2023-11-19,91,0,0
2023-11-26,17,0,1
