Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,22
2022-11-06,0,0,31
2022-11-13,0,0,65
2022-11-20,1,0,26
2022-11-27,0,0,0
2022-12-04,0,0,25
2022-12-11,0,0,1
2022-12-18,76,0,0
2022-12-25,0,0,39
2023-01-01,32,0,0
2023-01-08,0,0,27
2023-01-15,0,0,1
2023-01-22,0,0,1
2023-01-29,0,0,78
2023-02-05,0,0,0
2023-02-12,3,0,0
2023-02-19,0,0,0
2023-02-26,24,0,0
2023-03-05,0,0,1
2023-03-12,38,0,25
2023-03-19,1,0,0
2023-03-26,33,0,32
2023-04-02,30,0,0
2023-04-09,82,0,0
2023-04-16,0,0,0
2023-04-23,0,0,0
2023-04-30,3,0,0
2023-05-07,0,0,0
2023-05-14,41,0,0
2023-05-21,0,0,0
2023-05-28,0,0,4
2023-06-04,1,0,2
2023-06-11,0,0,0
2023-06-18,0,0,76
2023-06-25,0,0,52
2023-07-02,79,0,1
2023-07-09,2,0,0
2023-07-16,0,0,5
2023-07-23,0,0,3
2023-07-30,1,0,1
2023-08-06,0,0,51
2023-08-13,49,0,0
2023-08-20,45,0,1
2023-08-27,0,0,1
2023-09-03,1,0,0
2023-09-10,1,0,34
2023-09-17,1,0,0
2023-09-24,100,0,0
2023-10-01,31,0,1
2023-10-08,62,0,2
2023-10-15,0,0,0
2023-10-22,1,0,0
2023-10-29,0,0,0
2023-11-05,0,0,0
2023-11-12,55,0,0
2023-11-19,84,0,2
2023-11-26,0,0,0
