Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,49,<1,65
2022-11-06,42,0,31
2022-11-13,13,<1,41
2022-11-20,1,1,64
2022-11-27,25,0,32
2022-12-04,28,0,38
2022-12-11,13,0,47
2022-12-18,42,1,19
2022-12-25,20,0,21
2023-01-01,20,15,12
2023-01-08,28,0,0
2023-01-15,15,1,0
2023-01-22,16,0,<1
2023-01-29,34,0,32
2023-02-05,27,0,0
2023-02-12,<1,0,12
2023-02-19,11,21,16
2023-02-26,32,23,12
2023-03-05,<1,<1,0
2023-03-12,0,0,0
2023-03-19,0,1,0
2023-03-26,0,0,16
2023-04-02,0,1,18
2023-04-09,1,1,10
2023-04-16,0,0,0
2023-04-23,76,18,32
2023-04-30,51,20,33
2023-05-07,26,0,0
2023-05-14,18,2,23
2023-05-21,44,1,1
2023-05-28,36,2,77
2023-06-04,30,<1,26
2023-06-11,65,0,29
2023-06-18,11,0,21
2023-06-25,31,1,0
2023-07-02,36,<1,12
2023-07-09,100,38,27
2023-07-16,39,<1,24
2023-07-23,28,27,27
2023-07-30,55,0,31
2023-08-06,71,19,78
2023-08-13,52,0,0
2023-08-20,70,1,35
2023-08-27,43,0,19
2023-09-03,32,0,44
2023-09-10,69,19,17
2023-09-17,38,1,23
2023-09-24,50,0,34
2023-10-01,49,1,0
2023-10-08,18,<1,<1
2023-10-15,12,1,31
2023-10-22,18,19,31
2023-10-29,53,0,26
2023-11-05,17,0,2
2023-11-12,28,1,0
2023-11-19,2,0,13
2023-11-26,13,27,1
