Date,monkeypox,mpox,monkeypox_ French
2022-10-30,1,0,2
2022-11-06,0,0,0
2022-11-13,0,0,70
2022-11-20,0,0,0
2022-11-27,0,0,0
2022-12-04,2,0,0
2022-12-11,47,0,3
2022-12-18,0,0,70
2022-12-25,1,0,1
2023-01-01,0,0,0
2023-01-08,1,0,1
2023-01-15,0,0,0
2023-01-22,0,0,27
2023-01-29,0,0,0
2023-02-05,2,0,0
2023-02-12,0,0,0
2023-02-19,0,0,0
2023-02-26,18,0,0
2023-03-05,1,0,0
2023-03-12,0,0,0
2023-03-19,1,0,2
2023-03-26,0,0,0
2023-04-02,0,0,60
2023-04-09,0,0,0
2023-04-16,0,0,1
2023-04-23,46,0,29
2023-04-30,0,0,0
2023-05-07,1,0,2
2023-05-14,22,0,0
2023-05-21,0,0,0
2023-05-28,46,0,0
2023-06-04,0,0,0
2023-06-11,2,0,0
2023-06-18,32,0,0
2023-06-25,1,0,0
2023-07-02,45,0,40
2023-07-09,3,0,0
2023-07-16,0,0,23
2023-07-23,1,0,25
2023-07-30,2,0,0
2023-08-06,2,0,0
2023-08-13,1,0,0
2023-08-20,100,0,25
2023-08-27,0,0,40
2023-09-03,3,0,0
2023-09-10,0,0,36
2023-09-17,0,0,41
2023-09-24,2,0,0
2023-10-01,0,0,0
2023-10-08,2,0,60
2023-10-15,2,0,0
2023-10-22,0,0,88
2023-10-29,1,0,0
2023-11-05,54,0,1
2023-11-12,1,0,0
2023-11-19,0,0,0
2023-11-26,1,0,1
