Date,monkeypox,mpox,monkeypox_ French
2022-10-30,44,0,0
2022-11-06,0,0,0
2022-11-13,2,0,0
2022-11-20,2,0,0
2022-11-27,69,0,0
2022-12-04,1,0,0
2022-12-11,2,0,0
2022-12-18,0,0,0
2022-12-25,1,0,0
2023-01-01,0,0,0
2023-01-08,0,0,0
2023-01-15,0,0,0
2023-01-22,87,0,0
2023-01-29,0,0,0
2023-02-05,2,0,0
2023-02-12,1,0,0
2023-02-19,60,0,0
2023-02-26,0,0,0
2023-03-05,0,0,0
2023-03-12,37,0,0
2023-03-19,86,0,0
2023-03-26,100,0,0
2023-04-02,40,0,0
2023-04-09,55,0,0
2023-04-16,3,0,0
2023-04-23,58,0,0
2023-04-30,0,0,0
2023-05-07,0,0,0
2023-05-14,40,0,0
2023-05-21,46,0,0
2023-05-28,63,0,0
2023-06-04,0,0,0
2023-06-11,0,0,0
2023-06-18,1,0,0
2023-06-25,2,0,0
2023-07-02,0,0,0
2023-07-09,0,0,0
2023-07-16,0,0,0
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,81,0,0
2023-08-13,0,0,0
2023-08-20,0,0,0
2023-08-27,37,0,0
2023-09-03,1,0,0
2023-09-10,2,0,0
2023-09-17,0,0,0
2023-09-24,0,0,0
2023-10-01,1,0,0
2023-10-08,2,0,0
2023-10-15,0,0,0
2023-10-22,5,0,0
2023-10-29,0,0,0
2023-11-05,0,0,0
2023-11-12,4,0,0
2023-11-19,4,0,0
2023-11-26,43,0,0
