Date,monkeypox,mpox,monkeypox_ Chinese
2022-10-30,100,0,0
2022-11-06,62,0,0
2022-11-13,28,<1,0
2022-11-20,36,0,0
2022-11-27,35,23,0
2022-12-04,34,1,0
2022-12-11,19,0,0
2022-12-18,0,11,0
2022-12-25,19,0,0
2023-01-01,27,0,0
2023-01-08,17,0,0
2023-01-15,10,<1,0
2023-01-22,21,0,0
2023-01-29,19,0,0
2023-02-05,0,17,0
2023-02-12,18,0,0
2023-02-19,18,0,0
2023-02-26,11,0,0
2023-03-05,16,13,0
2023-03-12,0,13,0
2023-03-19,18,0,0
2023-03-26,11,0,0
2023-04-02,37,0,0
2023-04-09,9,11,0
2023-04-16,16,0,0
2023-04-23,27,1,0
2023-04-30,12,26,0
2023-05-07,34,23,0
2023-05-14,25,0,0
2023-05-21,20,1,0
2023-05-28,0,0,0
2023-06-04,39,0,0
2023-06-11,14,0,0
2023-06-18,10,10,0
2023-06-25,0,1,0
2023-07-02,23,11,0
2023-07-09,28,0,0
2023-07-16,32,0,0
2023-07-23,0,<1,0
2023-07-30,16,0,0
2023-08-06,1,27,0
2023-08-13,20,1,0
2023-08-20,0,0,0
2023-08-27,20,14,0
2023-09-03,47,0,0
2023-09-10,<1,0,0
2023-09-17,11,0,0
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,35,11,0
2023-10-15,26,0,0
2023-10-22,33,18,0
2023-10-29,32,25,0
2023-11-05,31,0,0
2023-11-12,10,20,0
2023-11-19,50,13,0
2023-11-26,19,<1,0
