Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,56,11,0
2022-11-06,69,<1,<1
2022-11-13,47,25,0
2022-11-20,45,9,1
2022-11-27,100,0,0
2022-12-04,27,16,<1
2022-12-11,24,32,<1
2022-12-18,26,12,1
2022-12-25,42,62,11
2023-01-01,26,0,0
2023-01-08,34,0,19
2023-01-15,23,0,0
2023-01-22,20,0,1
2023-01-29,33,23,0
2023-02-05,9,<1,0
2023-02-12,17,2,0
2023-02-19,12,28,0
2023-02-26,0,33,0
2023-03-05,27,0,<1
2023-03-12,10,0,<1
2023-03-19,9,15,0
2023-03-26,37,19,0
2023-04-02,40,0,13
2023-04-09,13,0,0
2023-04-16,0,24,0
2023-04-23,11,1,43
2023-04-30,14,22,1
2023-05-07,11,0,1
2023-05-14,0,0,<1
2023-05-21,26,11,0
2023-05-28,50,30,0
2023-06-04,1,13,0
2023-06-11,20,14,<1
2023-06-18,21,<1,1
2023-06-25,0,11,0
2023-07-02,0,0,12
2023-07-09,23,0,0
2023-07-16,22,17,0
2023-07-23,12,1,0
2023-07-30,22,22,1
2023-08-06,22,1,0
2023-08-13,0,0,0
2023-08-20,0,20,0
2023-08-27,10,0,0
2023-09-03,0,11,1
2023-09-10,20,0,0
2023-09-17,0,27,0
2023-09-24,24,0,26
2023-10-01,<1,<1,10
2023-10-08,14,46,0
2023-10-15,0,19,1
2023-10-22,0,34,0
2023-10-29,16,12,19
2023-11-05,32,16,0
2023-11-12,15,0,<1
2023-11-19,19,0,1
2023-11-26,0,19,1
