Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,17,0,23
2022-11-06,1,0,28
2022-11-13,15,0,0
2022-11-20,14,0,20
2022-11-27,1,0,1
2022-12-04,0,0,16
2022-12-11,2,0,0
2022-12-18,0,0,17
2022-12-25,0,0,0
2023-01-01,0,0,0
2023-01-08,23,0,0
2023-01-15,1,0,1
2023-01-22,0,0,17
2023-01-29,17,0,22
2023-02-05,0,0,1
2023-02-12,14,0,0
2023-02-19,1,0,25
2023-02-26,0,0,<1
2023-03-05,0,0,20
2023-03-12,0,0,0
2023-03-19,1,0,1
2023-03-26,0,0,0
2023-04-02,1,0,0
2023-04-09,0,0,2
2023-04-16,0,0,0
2023-04-23,0,0,0
2023-04-30,27,0,0
2023-05-07,46,0,0
2023-05-14,0,0,0
2023-05-21,0,0,1
2023-05-28,0,0,4
2023-06-04,83,0,0
2023-06-11,0,0,0
2023-06-18,2,0,1
2023-06-25,0,0,0
2023-07-02,0,0,100
2023-07-09,1,0,0
2023-07-16,0,0,0
2023-07-23,2,0,0
2023-07-30,0,0,94
2023-08-06,0,0,0
2023-08-13,47,0,85
2023-08-20,1,0,0
2023-08-27,37,0,2
2023-09-03,0,0,0
2023-09-10,0,0,29
2023-09-17,29,0,0
2023-09-24,2,0,0
2023-10-01,0,0,37
2023-10-08,1,0,0
2023-10-15,0,0,0
2023-10-22,35,0,0
2023-10-29,38,0,0
2023-11-05,1,0,0
2023-11-12,0,0,1
2023-11-19,31,0,1
2023-11-26,30,0,0
