Date,monkeypox,mpox,monkeypox_ French
2022-10-30,71,0,0
2022-11-06,90,1,100
2022-11-13,88,0,90
2022-11-20,49,1,54
2022-11-27,53,1,18
2022-12-04,49,0,36
2022-12-11,26,0,32
2022-12-18,53,22,31
2022-12-25,0,2,41
2023-01-01,33,1,22
2023-01-08,45,1,0
2023-01-15,22,0,67
2023-01-22,17,18,0
2023-01-29,0,0,2
2023-02-05,21,24,38
2023-02-12,0,0,0
2023-02-19,0,0,68
2023-02-26,18,1,2
2023-03-05,0,42,0
2023-03-12,0,0,26
2023-03-19,27,26,24
2023-03-26,1,22,18
2023-04-02,0,0,0
2023-04-09,1,2,0
2023-04-16,0,0,36
2023-04-23,0,0,0
2023-04-30,0,17,0
2023-05-07,1,48,40
2023-05-14,1,1,1
2023-05-21,0,0,34
2023-05-28,30,29,1
2023-06-04,1,0,0
2023-06-11,1,0,0
2023-06-18,22,3,1
2023-06-25,0,23,0
2023-07-02,54,1,1
2023-07-09,1,24,68
2023-07-16,46,0,0
2023-07-23,0,26,1
2023-07-30,0,0,0
2023-08-06,0,0,0
2023-08-13,28,0,21
2023-08-20,1,1,0
2023-08-27,62,1,31
2023-09-03,24,28,0
2023-09-10,37,49,24
2023-09-17,17,25,28
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,0,20,1
2023-10-15,0,2,1
2023-10-22,1,0,24
2023-10-29,0,1,0
2023-11-05,0,0,79
2023-11-12,24,61,0
2023-11-19,22,4,0
2023-11-26,0,29,2
