Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,1,0,0
2022-11-06,2,0,0
2022-11-13,1,0,31
2022-11-20,0,0,0
2022-11-27,62,0,0
2022-12-04,2,0,0
2022-12-11,0,0,62
2022-12-18,0,0,0
2022-12-25,2,0,0
2023-01-01,0,0,1
2023-01-08,44,0,0
2023-01-15,3,0,68
2023-01-22,0,0,51
2023-01-29,0,0,2
2023-02-05,2,0,0
2023-02-12,0,0,1
2023-02-19,3,0,0
2023-02-26,1,0,0
2023-03-05,0,0,2
2023-03-12,0,0,59
2023-03-19,0,0,1
2023-03-26,1,0,68
2023-04-02,1,0,0
2023-04-09,2,0,0
2023-04-16,1,0,1
2023-04-23,70,0,1
2023-04-30,0,0,0
2023-05-07,1,0,0
2023-05-14,33,0,0
2023-05-21,3,0,0
2023-05-28,0,0,62
2023-06-04,1,0,64
2023-06-11,3,0,1
2023-06-18,0,0,0
2023-06-25,63,0,0
2023-07-02,2,0,2
2023-07-09,1,0,2
2023-07-16,0,0,97
2023-07-23,0,0,3
2023-07-30,0,0,3
2023-08-06,0,0,0
2023-08-13,0,0,47
2023-08-20,3,0,0
2023-08-27,0,0,0
2023-09-03,44,0,0
2023-09-10,0,0,0
2023-09-17,0,0,49
2023-09-24,1,0,0
2023-10-01,4,0,4
2023-10-08,2,0,0
2023-10-15,100,0,0
2023-10-22,1,0,68
2023-10-29,0,0,0
2023-11-05,0,0,86
2023-11-12,1,0,0
2023-11-19,0,0,3
2023-11-26,0,0,0
