Date,monkeypox,mpox,monkeypox_ Chinese
2022-10-30,<1,<1,2
2022-11-06,1,0,2
2022-11-13,<1,<1,1
2022-11-20,0,<1,1
2022-11-27,<1,<1,1
2022-12-04,<1,<1,1
2022-12-11,0,0,1
2022-12-18,<1,0,1
2022-12-25,<1,<1,1
2023-01-01,<1,0,1
2023-01-08,0,<1,1
2023-01-15,<1,<1,1
2023-01-22,<1,0,1
2023-01-29,<1,0,1
2023-02-05,1,0,1
2023-02-12,0,1,<1
2023-02-19,<1,0,2
2023-02-26,1,0,35
2023-03-05,0,<1,32
2023-03-12,1,0,32
2023-03-19,<1,1,51
2023-03-26,<1,<1,28
2023-04-02,<1,<1,20
2023-04-09,<1,1,42
2023-04-16,1,1,100
2023-04-23,<1,<1,44
2023-04-30,<1,0,32
2023-05-07,1,<1,24
2023-05-14,<1,1,26
2023-05-21,<1,0,25
2023-05-28,1,<1,18
2023-06-04,1,<1,32
2023-06-11,0,0,15
2023-06-18,<1,1,19
2023-06-25,<1,<1,15
2023-07-02,<1,1,12
2023-07-09,<1,<1,14
2023-07-16,0,<1,10
2023-07-23,<1,0,7
2023-07-30,<1,<1,6
2023-08-06,<1,<1,8
2023-08-13,<1,<1,9
2023-08-20,0,<1,5
2023-08-27,<1,<1,4
2023-09-03,0,0,4
2023-09-10,<1,0,5
2023-09-17,<1,1,5
2023-09-24,<1,1,4
2023-10-01,1,0,4
2023-10-08,0,0,3
2023-10-15,0,1,4
2023-10-22,0,0,3
2023-10-29,<1,<1,4
2023-11-05,<1,1,9
2023-11-12,<1,0,3
2023-11-19,1,<1,3
2023-11-26,0,1,3
