Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,0
2022-11-06,1,0,1
2022-11-13,1,0,19
2022-11-20,21,0,0
2022-11-27,<1,0,1
2022-12-04,0,0,0
2022-12-11,0,0,0
2022-12-18,0,0,0
2022-12-25,0,0,0
2023-01-01,23,0,0
2023-01-08,2,0,0
2023-01-15,0,0,0
2023-01-22,0,0,0
2023-01-29,0,0,50
2023-02-05,16,0,1
2023-02-12,0,0,0
2023-02-19,27,0,16
2023-02-26,1,0,0
2023-03-05,0,0,0
2023-03-12,18,0,40
2023-03-19,0,0,0
2023-03-26,0,0,0
2023-04-02,1,0,60
2023-04-09,0,0,2
2023-04-16,0,0,27
2023-04-23,1,0,<1
2023-04-30,0,0,1
2023-05-07,20,0,<1
2023-05-14,0,0,0
2023-05-21,17,0,2
2023-05-28,17,0,0
2023-06-04,0,0,16
2023-06-11,0,0,1
2023-06-18,27,0,14
2023-06-25,0,0,3
2023-07-02,0,0,1
2023-07-09,1,0,50
2023-07-16,13,0,0
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,100,0,2
2023-08-13,0,0,30
2023-08-20,2,0,0
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,0,0,41
2023-09-17,17,0,0
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,0,0,13
2023-10-15,0,0,1
2023-10-22,0,0,27
2023-10-29,0,0,0
2023-11-05,15,0,0
2023-11-12,19,0,3
2023-11-19,1,0,1
2023-11-26,0,0,0
