Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,0,0,2
2022-11-06,28,0,0
2022-11-13,87,0,0
2022-11-20,0,0,1
2022-11-27,0,0,0
2022-12-04,1,0,29
2022-12-11,33,0,66
2022-12-18,0,0,3
2022-12-25,68,0,0
2023-01-01,64,0,4
2023-01-08,1,0,0
2023-01-15,2,0,0
2023-01-22,0,0,0
2023-01-29,0,0,0
2023-02-05,0,0,0
2023-02-12,0,0,0
2023-02-19,0,0,49
2023-02-26,30,0,0
2023-03-05,0,0,3
2023-03-12,2,0,0
2023-03-19,2,0,43
2023-03-26,0,0,0
2023-04-02,0,0,2
2023-04-09,1,0,1
2023-04-16,2,0,1
2023-04-23,0,0,0
2023-04-30,31,0,0
2023-05-07,0,0,1
2023-05-14,0,0,2
2023-05-21,54,0,0
2023-05-28,0,0,26
2023-06-04,1,0,0
2023-06-11,25,0,0
2023-06-18,27,0,0
2023-06-25,0,0,0
2023-07-02,2,0,28
2023-07-09,0,0,0
2023-07-16,29,0,40
2023-07-23,0,0,0
2023-07-30,0,0,2
2023-08-06,0,0,1
2023-08-13,27,0,0
2023-08-20,1,0,0
2023-08-27,50,0,1
2023-09-03,0,0,0
2023-09-10,25,0,0
2023-09-17,23,0,0
2023-09-24,1,0,1
2023-10-01,0,0,27
2023-10-08,0,0,0
2023-10-15,1,0,100
2023-10-22,0,0,1
2023-10-29,1,0,49
2023-11-05,0,0,3
2023-11-12,41,0,36
2023-11-19,1,0,0
2023-11-26,56,0,0
