Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,77,0,61
2022-11-06,100,0,0
2022-11-13,52,0,0
2022-11-20,44,24,<1
2022-11-27,24,0,0
2022-12-04,31,0,0
2022-12-11,30,54,25
2022-12-18,29,0,0
2022-12-25,29,31,0
2023-01-01,66,35,26
2023-01-08,74,0,30
2023-01-15,59,0,<1
2023-01-22,18,0,24
2023-01-29,0,1,1
2023-02-05,38,0,34
2023-02-12,22,1,18
2023-02-19,17,0,1
2023-02-26,50,0,0
2023-03-05,22,2,1
2023-03-12,33,0,20
2023-03-19,0,0,50
2023-03-26,24,0,25
2023-04-02,86,1,0
2023-04-09,28,1,0
2023-04-16,2,0,<1
2023-04-23,89,0,36
2023-04-30,84,0,0
2023-05-07,<1,0,1
2023-05-14,1,0,0
2023-05-21,15,1,2
2023-05-28,50,15,19
2023-06-04,2,0,1
2023-06-11,33,0,1
2023-06-18,26,31,0
2023-06-25,86,0,0
2023-07-02,17,21,0
2023-07-09,0,0,0
2023-07-16,27,16,0
2023-07-23,36,0,24
2023-07-30,0,66,0
2023-08-06,0,37,2
2023-08-13,0,0,<1
2023-08-20,17,0,0
2023-08-27,17,16,51
2023-09-03,0,0,1
2023-09-10,28,<1,21
2023-09-17,22,0,0
2023-09-24,0,0,1
2023-10-01,28,0,0
2023-10-08,0,0,<1
2023-10-15,0,1,<1
2023-10-22,22,0,17
2023-10-29,1,0,0
2023-11-05,21,0,1
2023-11-12,60,0,0
2023-11-19,30,0,0
2023-11-26,1,23,0
