Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,0,0,0
2022-11-06,35,0,0
2022-11-13,0,0,3
2022-11-20,0,0,0
2022-11-27,2,0,1
2022-12-04,0,0,0
2022-12-11,1,0,2
2022-12-18,0,0,21
2022-12-25,1,0,0
2023-01-01,0,0,51
2023-01-08,0,0,20
2023-01-15,0,0,0
2023-01-22,44,0,21
2023-01-29,0,0,0
2023-02-05,1,0,23
2023-02-12,1,0,0
2023-02-19,0,0,23
2023-02-26,0,0,0
2023-03-05,30,0,0
2023-03-12,0,0,0
2023-03-19,1,0,49
2023-03-26,0,0,0
2023-04-02,1,0,25
2023-04-09,0,0,0
2023-04-16,1,0,0
2023-04-23,1,0,33
2023-04-30,1,0,0
2023-05-07,0,0,0
2023-05-14,2,0,0
2023-05-21,32,0,0
2023-05-28,0,0,3
2023-06-04,0,0,0
2023-06-11,18,0,0
2023-06-18,54,0,0
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,1,0,0
2023-07-16,31,0,100
2023-07-23,0,0,0
2023-07-30,30,0,2
2023-08-06,22,0,1
2023-08-13,0,0,0
2023-08-20,1,0,1
2023-08-27,0,0,2
2023-09-03,0,0,31
2023-09-10,1,0,1
2023-09-17,31,0,0
2023-09-24,0,0,1
2023-10-01,0,0,0
2023-10-08,2,0,0
2023-10-15,0,0,25
2023-10-22,0,0,0
2023-10-29,20,0,0
2023-11-05,0,0,0
2023-11-12,0,0,0
2023-11-19,1,0,0
2023-11-26,0,0,24
