Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,56,0,1
2022-11-06,50,0,1
2022-11-13,1,1,0
2022-11-20,1,1,0
2022-11-27,47,0,0
2022-12-04,0,0,23
2022-12-11,0,37,1
2022-12-18,0,64,1
2022-12-25,0,0,49
2023-01-01,36,0,40
2023-01-08,0,0,1
2023-01-15,0,1,1
2023-01-22,1,23,28
2023-01-29,2,0,46
2023-02-05,0,1,3
2023-02-12,1,0,0
2023-02-19,27,38,0
2023-02-26,0,1,1
2023-03-05,0,0,0
2023-03-12,2,2,31
2023-03-19,17,0,15
2023-03-26,2,0,0
2023-04-02,0,100,0
2023-04-09,0,31,1
2023-04-16,1,1,1
2023-04-23,0,0,0
2023-04-30,0,1,1
2023-05-07,36,0,0
2023-05-14,0,82,0
2023-05-21,1,2,0
2023-05-28,0,0,0
2023-06-04,1,1,0
2023-06-11,0,1,18
2023-06-18,1,1,1
2023-06-25,26,0,0
2023-07-02,1,0,1
2023-07-09,0,0,0
2023-07-16,1,1,1
2023-07-23,0,3,1
2023-07-30,1,1,19
2023-08-06,0,1,0
2023-08-13,1,39,0
2023-08-20,0,2,1
2023-08-27,35,51,3
2023-09-03,2,0,1
2023-09-10,1,1,0
2023-09-17,0,0,21
2023-09-24,0,0,31
2023-10-01,0,1,0
2023-10-08,1,0,1
2023-10-15,0,<1,0
2023-10-22,0,0,0
2023-10-29,28,<1,0
2023-11-05,0,0,0
2023-11-12,0,26,0
2023-11-19,0,0,<1
2023-11-26,0,22,1
