Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,22,0,0
2022-11-06,1,0,0
2022-11-13,1,0,32
2022-11-20,0,0,0
2022-11-27,1,0,0
2022-12-04,0,0,62
2022-12-11,19,0,23
2022-12-18,1,0,0
2022-12-25,0,0,0
2023-01-01,0,0,22
2023-01-08,1,0,0
2023-01-15,0,0,0
2023-01-22,23,0,1
2023-01-29,1,0,21
2023-02-05,18,0,0
2023-02-12,0,0,20
2023-02-19,0,0,1
2023-02-26,1,0,0
2023-03-05,1,0,1
2023-03-12,0,0,0
2023-03-19,0,0,20
2023-03-26,0,0,1
2023-04-02,0,0,0
2023-04-09,0,0,0
2023-04-16,0,0,2
2023-04-23,0,0,0
2023-04-30,0,0,38
2023-05-07,54,0,0
2023-05-14,0,0,0
2023-05-21,23,0,25
2023-05-28,0,0,1
2023-06-04,1,0,26
2023-06-11,0,0,1
2023-06-18,26,0,0
2023-06-25,0,0,0
2023-07-02,1,0,0
2023-07-09,20,0,0
2023-07-16,18,0,0
2023-07-23,0,0,1
2023-07-30,0,0,1
2023-08-06,2,0,2
2023-08-13,0,0,1
2023-08-20,0,0,0
2023-08-27,1,0,27
2023-09-03,0,0,32
2023-09-10,0,0,0
2023-09-17,0,0,1
2023-09-24,0,0,0
2023-10-01,31,0,18
2023-10-08,2,0,1
2023-10-15,100,0,0
2023-10-22,0,0,0
2023-10-29,0,0,0
2023-11-05,0,0,0
2023-11-12,0,0,0
2023-11-19,0,0,0
2023-11-26,0,0,0
