country_name,regime_row_owid,electdem_vdem_owid,lib_vdem_owid,region
Afghanistan,0,0.082,0.09,Asia
Africa,,0.389125,,World
Albania,1,0.484,0.813,Europe
Algeria,1,0.281,0.315,Africa
Angola,1,0.344,0.369,Africa
Argentina,2,0.823,0.746,South America
Armenia,2,0.645,0.642,Asia
Asia,,0.338448979591837,,World
Australia,3,0.858,0.965,Oceania
Austria,2,0.794,0.889,Europe
Azerbaijan,1,0.188,0.159,Asia
Bahrain,0,0.122,0.171,Asia
Bangladesh,1,0.274,0.244,Asia
Barbados,3,0.782,0.853,North America
Belarus,1,0.175,0.092,Europe
Belgium,3,0.887,0.937,Europe
Benin,1,0.45,0.598,Africa
Bhutan,2,0.535,0.789,Asia
Bolivia,2,0.597,0.506,South America
Bosnia and Herzegovina,2,0.528,0.636,Europe
Botswana,2,0.577,0.785,Africa
Brazil,2,0.678,0.751,South America
Bulgaria,2,0.688,0.905,Europe
Burkina Faso,0,0.295,0.559,Africa
Burundi,1,0.189,0.214,Africa
Cambodia,1,0.206,0.144,Asia
Cameroon,1,0.297,0.308,Africa
Canada,2,0.847,0.865,North America
Cape Verde,2,0.75,0.867,Africa
Central African Republic,1,0.321,0.381,Africa
Chad,0,0.14,0.073,Africa
Chile,3,0.811,0.949,South America
China,0,0.075,0.139,Asia
Colombia,2,0.689,0.769,South America
Comoros,1,0.284,0.255,Africa
Congo,1,0.234,0.275,Africa
Costa Rica,3,0.871,0.956,North America
Cote d'Ivoire,1,0.437,0.45,Africa
Croatia,2,0.738,0.887,Europe
Cuba,0,0.178,0.141,North America
Cyprus,3,0.777,0.819,Europe
Czechia,3,0.853,0.929,Europe
Democratic Republic of Congo,1,0.337,0.317,Africa
Denmark,3,0.916,0.983,Europe
Djibouti,1,0.255,0.312,Africa
Dominican Republic,2,0.679,0.631,North America
Ecuador,2,0.657,0.734,South America
Egypt,1,0.175,0.363,Africa
El Salvador,1,0.378,0.259,North America
Equatorial Guinea,1,0.172,0.126,Africa
Eritrea,0,0.073,0.029,Africa
Estonia,3,0.893,0.961,Europe
Eswatini,0,0.12,0.326,Africa
Ethiopia,1,0.319,0.334,Africa
Europe,,0.727,,World
Fiji,1,0.406,0.561,Oceania
Finland,3,0.861,0.964,Europe
France,3,0.874,0.924,Europe
Gabon,1,0.369,0.439,Africa
Gambia,2,0.62,0.787,Africa
Georgia,2,0.647,0.754,Asia
Germany,3,0.857,0.96,Europe
Ghana,2,0.633,0.865,Africa
Greece,2,0.783,0.739,Europe
Guatemala,1,0.435,0.511,North America
Guinea,0,0.191,0.275,Africa
Guinea-Bissau,1,0.371,0.361,Africa
Guyana,2,0.535,0.623,South America
Haiti,1,0.248,0.42,North America
Honduras,2,0.556,0.68,North America
Hong Kong,0,0.154,0.408,Asia
Hungary,1,0.445,0.69,Europe
Iceland,3,0.819,0.903,Europe
India,1,0.399,0.679,Asia
Indonesia,2,0.574,0.696,Asia
Iran,1,0.182,0.311,Asia
Iraq,1,0.362,0.419,Asia
Ireland,3,0.889,0.934,Europe
Israel,3,0.723,0.916,Asia
Italy,3,0.844,0.916,Europe
Jamaica,2,0.797,0.874,North America
Japan,3,0.833,0.881,Asia
Jordan,0,0.259,0.71,Asia
Kazakhstan,1,0.277,0.338,Asia
Kenya,2,0.522,0.785,Africa
Kosovo,2,0.618,0.718,Europe
Kuwait,1,0.317,0.784,Asia
Kyrgyzstan,1,0.382,0.482,Asia
Laos,0,0.134,0.356,Asia
Latvia,3,0.821,0.898,Europe
Lebanon,1,0.426,0.513,Asia
Lesotho,2,0.641,0.769,Africa
Liberia,2,0.634,0.696,Africa
Libya,0,0.213,0.303,Africa
Lithuania,2,0.797,0.949,Europe
